,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الرياض  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الرياض,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
اكتوبر,17551933,12606.434000000001,26,18112378,15849.19,32,10843235,8360.0625,18,,,,,,,,
نوفمبر,10133640,9768.45,17,17824027,9219.119999999999,22,23340093,12535.73,23,,,,,,,,
ديسمبر,18279711,15336.97,29,32740304,27870.995,25,17020000,13069.83,23,,,,,,,,
حي/البرية,176688912,447839.69,17,81452511,118360.92000000001,49,43685307,602622.32,63,9878500,25026.5,38,,,,,
يناير,,,,470000,2688,4,1995000,2550,4,2880500,9295,14,,,,,
فبراير,200000,1230,2,1015000,5040.4,8,28531207,535679.0499999999,15,2478000,7465,12,,,,,
مارس,105000,690,1,60720000,85610.35,7,5369500,37228.37,3,2135000,4820.3,7,,,,,
ابريل,90000,375,1,1173000,4225,6,760000,2635,4,2385000,3446.2,5,,,,,
مايو,170000000,433345.02,1,297000,1785,3,840000,1380,2,,,,,,,,
يونيو,5000000,4922.17,1,135000,690,1,841000,4740,6,,,,,,,,
يوليو,300000,900,1,200000,690,1,1086600,3945,6,,,,,,,,
اوغسطس,230000,1140,2,360000,1080,2,630000,2185,3,,,,,,,,
سبتمبر,200000,1560,2,120000,690,1,575000,2160,3,,,,,,,,
اكتوبر,73912,660,1,14992511,9362.17,7,300000,1110,2,,,,,,,,
نوفمبر,200000,1255,2,1025000,3835,5,1670000,5589.9,10,,,,,,,,
ديسمبر,290000,1762.5,3,945000,2665,4,1087000,3420,5,,,,,,,,
حي/البطحاء,454000,314.98,2,185000,242,2,8042500,1204.64,6,,,,,,,,
فبراير,,,,85000,121,1,,,,,,,,,,,
يونيو,,,,,,,202500,278.17,2,,,,,,,,
يوليو,,,,,,,380000,211.31,2,,,,,,,,
اوغسطس,400000,193.98,1,,,,,,,,,,,,,,
نوفمبر,54000,121,1,,,,7310000,610,1,,,,,,,,
ديسمبر,,,,100000,121,1,150000,105.16,1,,,,,,,,
حي/البيان,29902898,41639.66,76,228023157,200762.17700000003,425,173516323,127675.659,258,114676942,104405.508,154,,,,,
يناير,2449615,2080.7799999999997,6,24046467,24606.48,50,18576219,14288.91,32,50450546,42480.326,72,,,,,
فبراير,1571750,1446.6999999999998,4,11377656,13620.842000000002,34,31404502,18638.479999999996,47,38927992,40211.127,46,,,,,
مارس,4057020,6078.699999999999,14,10512500,12974.340000000002,34,31458272,21537.059999999998,41,19307644,16588.155,26,,,,,
ابريل,3702730,4115.82,8,18509463,19094.539999999997,47,13299000,4446.93,12,5990760,5125.9,10,,,,,
مايو,1106338,1342.6100000000001,3,15135020,23105.54,13,3904000,1712.05,4,,,,,,,,
يونيو,910000,1143.82,3,3783478,3813.01,9,16733292,11470.273000000001,25,,,,,,,,
يوليو,1473700,2044.5,5,26278039,22615.86,47,3265539,3116.25,9,,,,,,,,
اوغسطس,323200,404.19,1,16423946,13647.42,30,4206198,10005.23,13,,,,,,,,
سبتمبر,830000,1051.81,2,20816765,14139.955000000002,36,5976515,7330.931,10,,,,,,,,
اكتوبر,3302575,7819.13,7,24536353,17049.059999999998,41,8808592,7005.264999999999,15,,,,,,,,
نوفمبر,1152500,1635,3,26944737,17511.559999999998,39,25971314,20160.150000000005,34,,,,,,,,
