,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة مكة المكرمة في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,مكة المكرمة,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
فبراير,14953544,6245,17,9355000,5600,14,10287500,4800,12,4650000,1600,4,,,,,
مارس,48116447,18907.746799999997,49,12628056,7600,19,8150000,3633.79,9,6630000,1600,4,,,,,
ابريل,9390000,4052.741,12,6200000,4400,11,1450000,400,1,1550000,800,2,,,,,
مايو,6200000,3400,9,1650000,1200,3,,,,,,,,,,,
يونيو,2300000,1200,4,4290000,3200,8,13950000,4000,10,,,,,,,,
يوليو,7756000,4800,12,6801088,5760.26,14,9800000,6497.62,16,,,,,,,,
اوغسطس,2560000,2000,5,4030000,1632.17,4,11688786,9314.09,23,,,,,,,,
سبتمبر,6402500,3200,8,6500000,4000,10,11569667,7279.5236,21,,,,,,,,
اكتوبر,3700000,3211.67,8,7337153,5214,13,9380000,2000,5,,,,,,,,
نوفمبر,11550725,4800,12,8882500,7313.83,18,6753747,2400,6,,,,,,,,
ديسمبر,3864931,3200,8,12022500,7665.58,19,5477500,2000,5,,,,,,,,
حي/الاسكان العام بالرصيفه,1450000,400,1,,,,,,,,,,,,,,
سبتمبر,1450000,400,1,,,,,,,,,,,,,,
حي/الاسكان العام بمكة حى الملك فهد,1100000,400,1,,,,,,,,,,,,,,
ديسمبر,1100000,400,1,,,,,,,,,,,,,,
حي/الاسكان العام حى الملك فهد,1629750,400,1,4100000,1200,3,2300000,800,2,2480000,800,2,,,,,
يناير,,,,,,,,,,1380000,400,1,,,,,
فبراير,,,,,,,1100000,400,1,1100000,400,1,,,,,
مايو,,,,1600000,400,1,,,,,,,,,,,
يونيو,,,,,,,1200000,400,1,,,,,,,,
سبتمبر,1629750,400,1,,,,,,,,,,,,,,
نوفمبر,,,,1500000,400,1,,,,,,,,,,,
ديسمبر,,,,1000000,400,1,,,,,,,,,,,
حي/الاشراف من محلة جرول,,,,,,,700000,140.99,1,,,,,,,,
نوفمبر,,,,,,,700000,140.99,1,,,,,,,,
حي/الامير احمد,,,,869000,2155.54,2,2500000,1367.7,1,,,,,,,,
فبراير,,,,869000,2155.54,2,,,,,,,,,,,
مارس,,,,,,,2500000,1367.7,1,,,,,,,,
حي/الامير احمد بالرصيفة,1000000,744,1,,,,90000,496,1,,,,,,,,
اوغسطس,1000000,744,1,,,,90000,496,1,,,,,,,,
حي/الامير احمد باللاحجه من جهة المسفلة,,,,,,,7000000,450,1,,,,,,,,
مارس,,,,,,,7000000,450,1,,,,,,,,
حي/الامير احمد بكدى,22940000,2873.96,6,17350000,3803.21,15,7542000,3230.6000000000004,23,340000,53.84,1,,,,,
يناير,20000,100,1,8900000,1249.1799999999998,2,,,,,,,,,,,
فبراير,1650000,600,1,,,,2190000,1250,1,340000,53.84,1,,,,,
مارس,,,,2500000,805.6,1,,,,,,,,,,,
ابريل,,,,4600000,1481.21,9,,,,,,,,,,,
مايو,,,,450000,98.5,1,,,,,,,,,,,
يونيو,,,,,,,3672000,1684.7900000000002,19,,,,,,,,
يوليو,2300000,712.5,1,450000,84.55,1,,,,,,,,,,,
سبتمبر,,,,,,,600000,86.21,1,,,,,,,,
اكتوبر,10000000,500,1,,,,,,,,,,,,,,
نوفمبر,8500000,835.71,1,,,,,,,,,,,,,,
ديسمبر,470000,125.75,1,450000,84.17,1,1080000,209.6,2,,,,,,,,
حي/الامير احمد بن عبدالعزيز بكدى المسفله,250072,594,1,,,,720000,986.48,2,,,,,,,,
ابريل,250072,594,1,,,,,,,,,,,,,,
يوليو,,,,,,,720000,986.48,2,,,,,,,,
حي/الامير مشعل بالششه,,,,,,,581547,44.7364,1,,,,,,,,
يناير,,,,,,,581547,44.7364,1,,,,,,,,
حي/الامير مشعل بن عبدالعزيز خلف المدرسة,26363757,360.64,1,,,,,,,,,,,,,,
مايو,26363757,360.64,1,,,,,,,,,,,,,,
حي/البحيرات,9311602,14246.839999999998,12,5936105,11344.56,7,14534819,13678.610000000002,22,1940000,1136.6100000000001,2,,,,,
يناير,2100000,7934.87,2,,,,,,,,,,,,,,
فبراير,1436111,727.06,1,600000,7117.11,1,330000,275.61,1,,,,,,,,
مارس,1070000,730.47,2,,,,,,,,,,,,,,
ابريل,700000,671.23,1,,,,,,,1940000,1136.6100000000001,2,,,,,
مايو,,,,,,,3067935,1836.22,3,,,,,,,,
يونيو,,,,,,,5011546,4848.38,8,,,,,,,,
يوليو,1310000,1453.23,2,,,,1200420,1200.42,2,,,,,,,,
اوغسطس,,,,700000,671.23,1,,,,,,,,,,,
سبتمبر,,,,1436111,727.06,1,,,,,,,,,,,
اكتوبر,,,,1349994,1128.58,2,,,,,,,,,,,
نوفمبر,405491,711.48,1,,,,3503747,3585.9600000000005,5,,,,,,,,
ديسمبر,2290000,2018.5,3,1850000,1700.58,2,1421171,1932.02,3,,,,,,,,
حي/البحيرات امتداد المنطقة الصناعية بالعمرة رقم 2,,,,550000,1880,1,,,,,,,,,,,
مايو,,,,550000,1880,1,,,,,,,,,,,
حي/البحيرات بالطريق المؤدى فاطمة بالمخطط رقم 3,,,,,,,614000,453.37,1,,,,,,,,
ديسمبر,,,,,,,614000,453.37,1,,,,,,,,
حي/البحيرات طريق الوادى,,,,,,,1669800,771.0699999999999,2,,,,,,,,
فبراير,,,,,,,800000,346.75,1,,,,,,,,
يوليو,,,,,,,869800,424.32,1,,,,,,,,
حي/البحيرات على يسار الذاهب الى وادى فاطمة,2500000,697.65,1,3113321,1831.4499999999998,4,3700000,1506.73,3,1300000,3484.9100000000003,5,,,,,
فبراير,,,,,,,,,,500000,2704.9100000000003,4,,,,,
مارس,,,,100000,600,1,350000,600,1,,,,,,,,
ابريل,,,,750000,426.15,1,,,,800000,780,1,,,,,
يوليو,,,,2263321,805.3,2,,,,,,,,,,,
اكتوبر,2500000,697.65,1,,,,,,,,,,,,,,
نوفمبر,,,,,,,3350000,906.73,2,,,,,,,,
حي/البدر المعدل بكدى رقم 2,390000,265.92,2,150000,411.882,3,130000,75.24,1,,,,,,,,
فبراير,,,,150000,411.882,3,,,,,,,,,,,
مارس,,,,,,,130000,75.24,1,,,,,,,,
يونيو,90000,132.96,1,,,,,,,,,,,,,,
اكتوبر,300000,132.96,1,,,,,,,,,,,,,,
حي/البديوى طريق الطائف القديم يمين الذاهب الى الطائف,1200000,825,1,,,,,,,,,,,,,,
فبراير,1200000,825,1,,,,,,,,,,,,,,
حي/البركة,,,,630000,717.15,1,,,,,,,,,,,
ديسمبر,,,,630000,717.15,1,,,,,,,,,,,
حي/البوابة رقم 1 المعدل التخصصى,,,,,,,2000000,334.8,1,,,,,,,,
يونيو,,,,,,,2000000,334.8,1,,,,,,,,
حي/البوابة رقم 1 حى التخصصى,,,,,,,,,,1350000,256.6,1,,,,,
فبراير,,,,,,,,,,1350000,256.6,1,,,,,
حي/البوابة رقم 11,,,,,,,,,,811250,769.49,2,,,,,
فبراير,,,,,,,,,,462500,370.05,1,,,,,
مارس,,,,,,,,,,348750,399.44,1,,,,,
حي/البوابة رقم 3,5932000,6257.75,10,7504000,6870.09,11,9622450,8203.24,12,4650000,4555.89,7,,,,,
يناير,,,,750000,600,1,500000,608,1,180000,1148.75,2,,,,,
فبراير,750000,693,1,1445500,1280,2,2598450,1772.51,3,790000,590,1,,,,,
مارس,500000,1093,2,,,,770000,653.35,1,2490000,1858.5,3,,,,,
ابريل,525000,693,1,,,,,,,1190000,958.64,1,,,,,
يونيو,,,,,,,2250000,2069.82,3,,,,,,,,
اوغسطس,700000,630,1,800000,1224.25,2,,,,,,,,,,,
سبتمبر,685000,650,1,,,,2091000,1944.81,2,,,,,,,,
اكتوبر,1332000,1280,2,1680000,1233.7,2,,,,,,,,,,,
نوفمبر,1440000,1218.75,2,2128500,1902.1399999999999,3,1413000,1154.75,2,,,,,,,,
ديسمبر,,,,700000,630,1,,,,,,,,,,,
حي/البوابة رقم 6,1500000,274.39,1,1456000,216.75,1,,,,,,,,,,,
مايو,1500000,274.39,1,,,,,,,,,,,,,,
اوغسطس,,,,1456000,216.75,1,,,,,,,,,,,
حي/البوابة رقم 8,4710000,1331.3400000000001,4,2700000,1600.44,2,18405000,7635.42,15,,,,,,,,
يناير,1000000,618.84,1,,,,1600000,1095.6,2,,,,,,,,
فبراير,,,,,,,3300000,1499.67,2,,,,,,,,
يونيو,,,,,,,4405000,1726.73,4,,,,,,,,
يوليو,3710000,712.5,3,,,,,,,,,,,,,,
اوغسطس,,,,,,,5600000,1825.34,4,,,,,,,,
نوفمبر,,,,,,,1000000,265.17,1,,,,,,,,
ديسمبر,,,,2700000,1600.44,2,2500000,1222.9099999999999,2,,,,,,,,
حي/البوابة رقم واحد التخصصى المعتمد,400000,323,1,2200000,300,1,2150000,300,1,,,,,,,,
مارس,,,,2200000,300,1,,,,,,,,,,,
مايو,400000,323,1,,,,2150000,300,1,,,,,,,,
حي/البوابه رقم 7,9625000,5540.639999999999,9,7310000,2488.08,4,7256000,3764.0400000000004,7,,,,,,,,
مارس,,,,,,,1140000,793.94,1,,,,,,,,
ابريل,,,,2300000,587.86,1,,,,,,,,,,,
