,,,,,,,,,,,,,,,,,
  المؤشر العقاري للأحياء بمدينة الدمام  في عام 2018 و2019 و2020 و 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
المدينة,الدمام,,,,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2018,,,2019,,,2020,,,2021,,,,,,,
الأحياء,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,السعر بالريال السعودي,المساحة بالمتر المربع,عدد الصفقات,,,,,
ابريل,801000,5767.469999999999,2,1188195,5400.89,1,2072553,5921.58,1,1340000,1946.06,3,,,,,
مايو,,,,1386900,6030.13,1,300000,500,1,,,,,,,,
يونيو,,,,,,,1250000,4090,3,,,,,,,,
اوغسطس,,,,1551000,6024.629999999999,2,230000,540.5,1,,,,,,,,
سبتمبر,,,,1060000,2549.94,4,1442000,5166.6,4,,,,,,,,
اكتوبر,180000,613.8,1,2041414,8116.740000000001,5,2030000,3805.09,6,,,,,,,,
نوفمبر,,,,1909998,5457.14,4,895000,1300,2,,,,,,,,
ديسمبر,1175000,4963.8,3,315000,500,1,300000,1413.8,2,,,,,,,,
حي/الانوار,5000000,12732,2,23077979,145510.09,7,12871646,23537.7,7,18362137,34167.43,6,,,,,
يناير,4200000,9982,1,,,,2000000,8516.7,2,2350000,13984,1,,,,,
فبراير,,,,,,,1100000,1066.5,1,,,,,,,,
مارس,,,,11931209,119312.09,1,,,,16012137,20183.43,5,,,,,
يونيو,800000,2750,1,,,,,,,,,,,,,,
يوليو,,,,90000,750,1,3695050,8454.5,2,,,,,,,,
اكتوبر,,,,10956770,11464,4,,,,,,,,,,,
نوفمبر,,,,,,,3038298,2750,1,,,,,,,,
ديسمبر,,,,100000,13984,1,3038298,2750,1,,,,,,,,
حي/البادية,22156522,10531.905,36,30622586,9882.881999999998,43,19218026,7959.100000000001,33,5710420,3523.7699999999995,13,,,,,
يناير,3082922,1050.44,3,1070000,601.3820000000001,2,1173000,482.06000000000006,3,2052038,1447.62,5,,,,,
فبراير,3964000,1361.0700000000002,5,11462294,2545.84,11,620000,403.71000000000004,2,626000,140.95,2,,,,,
مارس,3689600,1501.49,5,1725000,1068.47,3,,,,525000,425,1,,,,,
ابريل,600000,400,1,6056000,975.4900000000001,5,945000,387.5,1,2507382,1510.2,5,,,,,
مايو,1245000,487.83500000000004,3,,,,,,,,,,,,,,
يونيو,89500,81.23,1,,,,2612273,942.69,4,,,,,,,,
يوليو,1698000,560.96,4,1463000,914.2199999999999,7,7515000,2214.21,7,,,,,,,,
اوغسطس,1407500,487.84000000000003,3,,,,1039253,746.51,3,,,,,,,,
سبتمبر,250000,108.43,1,465000,566.71,3,123500,73.19,1,,,,,,,,
اكتوبر,2660000,3303.27,5,890000,511.82,2,220000,151.61,2,,,,,,,,
نوفمبر,690000,376.28,2,5386292,1902.12,5,3760000,1619.64,6,,,,,,,,
ديسمبر,2780000,813.0600000000001,3,2105000,796.83,5,1210000,937.98,4,,,,,,,,
حي/البحيرة,8856018,3977.0299999999997,14,14925725,7424.080000000001,19,21146616,17577.87,26,1740935,1539.38,4,,,,,
يناير,700000,211.12,1,574782,218.66,1,7380953,6927.63,7,,,,,,,,
فبراير,,,,700000,202.01,1,,,,57527,217.66,1,,,,,
مارس,450000,200.88,1,,,,,,,1029986,1106.25,2,,,,,
ابريل,850000,210.88,1,3113500,1142.79,5,1532000,404.58,2,653422,215.47,1,,,,,
مايو,1100000,523.3199999999999,2,,,,650000,210.88,1,,,,,,,,
