,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 1: Monetary Base,,,,,,,جدول 1: القاعدة النقدية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,النقد المتداول,النقد في,ودائع لدى البنك المركزي  Deposits with SAMA,,,القاعدة النقدية,
,,خارج المصارف,الصندوق,ودائع البنوك ,ودائع المؤسسات ,المجموع,Monetary ,
,,Currency,Cash in ,المحلية,المالية العامة,, Base,
End of Period,,Outside Banks,Vault,Deposits of Banks,Public Fin. Ins.,Total,(Reserve Money),
,,1,2,3,4,5 = 3 + 4,6 = 1 + 2 + 5,
2010-08-31T00:00:00,,97559.36653572999,15787.882,53695.446910620005,5345.232712940001,59040.679623560005,172387.92815929,
2010-09-30T00:00:00,,95465.63755183,13696.426,52861.265793110004,5613.160054970001,58474.425848080005,167636.48939991003,
2010-10-31T00:00:00,,95638.08847071,14788.533,54067.4092236,5686.62204678,59754.03127038,170180.65274109,
2010-11-30T00:00:00,,96379.09052180001,16521.832,53613.00456978,5670.3679392700005,59283.37250905,172184.29503085001,
2010-12-31T00:00:00,,95519.84768499,15449.535,54976.4358592,5315.588960020001,60292.02481922,171261.40750421002,
2011-01-31T00:00:00,,99099.95424187,14420.104,56147.96127583,4619.41312103,60767.37439686,174287.43263872998,
2011-02-28T00:00:00,,99753.89103918,14488.181,56960.455176339994,5557.834853019999,62518.290029359996,176760.36206854,
2011-03-31T00:00:00,,106228.08105395001,15300.908,58540.92546593,11367.645575190001,69908.57104112,191437.56009507,
2011-04-30T00:00:00,,112967.9779584,16674.545,60305.32374816,8357.63932574,68662.9630739,198305.4860323,
2011-05-31T00:00:00,,114696.52434761998,16161.353,61439.681081489995,5110.24153568,66549.92261717,197407.79996479,
2011-06-30T00:00:00,,116849.97777308001,16332.675,61471.107216129996,5790.4534633,67261.56067943,200444.21345251,
