,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,,,
Table 1a: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Assets,,,,,,,,,,,,,جدول 1a: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المــوجـــودات 
(Million ﷼),,,,,,,,,,,,,(مليون ﷼)
نهاية ,,الأصول ,عملة ,ودائع لدى ,ودائع لدى ,أصول نقدية ,القروض ,الإستثمارات ,داخلية ,خارجية ,الأصول ,الأصول ,مجموع 
الفترة ,,النقدية , سعودية ,البنك المركزي,المصارف المحلية ,تحت التحصيل ,,,,,الثابتة ,الأخرى ,الأصول 
End of,,Monetary,Saudi,Dep. with,Deposits with,Monetary Assets,Loans,Investments,Domestic,Foreign,Fixed,Other ,Total
Period,,Assets,Currency,SAMA,Local Banks,under Collection,,,,,Assets,Assets,Assets
2019-12-31T00:00:00,,33756.702540000006,0.03,6.882462,7567.382078000001,26182.408,236361.156,36759.21,36759.21,0,616.834718,5595.943139,313089.846397
2020,,30678.224623,0,46.705865,7622.592758000001,23008.926,237384.68319399998,48188.597,48188.597,0,694.626,6031.323795,322977.45461200003
,,,,,,,,,,,,,
Q1,1998,7675.03,2.2,7357.05,212.08,103.7,87917.63999999998,6770.3,6770.3,0,54.4,7061.6,109478.96999999999
Q2,1998,8266.699999999999,1,3913.1,4182.4,170.2,88115.9,6143.3,6143.3,0,52.4,7215.2,109793.49999999999
Q3,1998,5794.299999999999,2.3000000000000003,5441.900000000001,214.1,136,88266.59999999999,8642.5,8642.5,0,53.5,7330.700000000001,110087.59999999999
Q4,1998,4911.65,0.1,4581.5,199.75,130.3,88905.9,8746.6,8746.6,0,53.9,7564.400000000001,110182.44999999998
Q1,1999,5462.51,1.4100000000000001,5047.400000000001,274.4,139.3,88446.90000000001,8743.6,8743.6,0,52.9,7564.1,110270.01000000001
Q2,1999,5537.6,1.3,5044.1,343.9,148.3,88473.3,8750.1,8750.1,0,53,7739,110553.00000000001
Q3,1999,5788.1,2,5294.5,362.59999999999997,129,88253,8752.1,8752.1,0,55.2,7985.900000000001,110834.3
Q4,1999,5300.299999999999,0,4906.2,262.70000000000005,131.4,89202.29999999999,8753.9,8753.9,0,56.9,8194.1,111507.49999999999
Q1,2000,5827.5,0.7999999999999999,5366.5,317.5,142.7,89000.79999999999,8529.9,8529.9,0,55.1,7961.400000000001,111374.69999999998
Q2,2000,6886.0165400000005,1.6,6390.0115399999995,340.005,154.4,88698.052426,7731.409662,7731.0996,0,55.910062,8242.202888,111613.59157799999
Q3,2000,4554.993,0.7999999999999999,4213.946,310.347,29.9,88572.36,10130.644,10130.644,0,56.209,3165.911,106480.117
Q4,2000,4696.7,0.1,4398.400000000001,149.1,149.1,88642.59999999999,10133.7,10133.7,0,58.800000000000004,3015.8,106547.59999999999
Q1,2001,5528.099999999999,1.9000000000000001,5205.8,223.7,96.7,88420.5,9540.3,9540.3,0,53.1,3030,106572.00000000001
Q2,2001,5889.7,24.1,5345.1,354,166.5,88001.6,9542.5,9542.5,0,54,3422,106909.8
Q3,2001,6307.999999999999,1.4000000000000001,6032.3,242.4,31.9,87950.2,9138.3,9138.3,0,53.9,3567.3,107017.7
Q4,2001,5899.599999999999,0.1,5370.9,411.3,117.3,88368.3,9931.699999999999,9931.699999999999,0,58.6,2509.7000000000003,106767.90000000001
Q1,2002,5769.6,1.6,5266.599999999999,439.6,61.8,88681.9,9521.9,9521.9,0,57.31,2615,106645.70999999999
Q2,2002,5940.900000000001,1.3000000000000003,5276.2,553.4,110,88849.4,9320.1,9320.1,0,58.2,2929.2000000000003,107097.79999999999
Q3,2002,5566.9,1.9000000000000001,5203.8,331.6,29.6,89035.9,9620.6,9620.6,0,56.6,2990,107270
Q4,2002,5849.900000000001,0.1,5304,417.8,128,88224.5,9675.1,9675.1,0,60,3001.8999999999996,106811.4
Q1,2003,6369.5,0.2,5828.4,456,84.9,89210.29999999999,9275.4,9275.4,0,57.4,2412.5,107325.09999999998
Q2,2003,5935.900000000001,1.5,5402.6,451.6,80.2,89024.1,9661.3,9661.3,0,56.4,2832.2,107509.9
Q3,2003,5714.900000000001,1,5225.7,462.4,25.8,89189.90000000001,9672.5,9672.5,0,57.2,3035.7,107670.2
Q4,2003,6188,0.1,5676.7,407.20000000000005,104,89090.6,9365.5,9365.5,0,57.8,2343.2,107045.1
Q1,2004,6256.4,1.8,5705.499999999999,482.7,66.4,88780.1,9666.1,9666.1,0,56.8,2222.4,106981.8
Q2,2004,6477.299999999999,0.7999999999999999,5949.3,449.80000000000007,77.4,88479.9,9663.3,9663.3,0,55.1,2571.7999999999997,107247.40000000001
Q3,2004,6336.7,1.7000000000000002,5805.4,421.7,107.9,88721.5,9663.400000000001,9663.400000000001,0,55.2,2834.8999999999996,107611.7
