,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف,
,,,,,,,
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل,
,,,,,,,
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total,
,,, (Million SAR مليون ريال ),,,,
2020-07-31T00:00:00,,18692,7389.05685756,1887.24830113,2944.49079986,12220.79595855,
2020-08-31T00:00:00,,16724,6664.01244403,1780.66452851,2429.22352761,10873.90050015,
2020-09-30T00:00:00,,20632,8517.5036044,2178.41475541,3362.86519059,14058.7835504,
2020-10-31T00:00:00,,18083,7834.5003029625,1903.95529823,3020.7560053075,12759.2116065,
2020-11-30T00:00:00,,23120,9953.38861185,2645.48070143,4079.27182889,16678.14114217,
2020-12-31T00:00:00,,24599,10316.5661943762,2559.60801743,4928.00031155092,17804.1745233571,
2021-01-31T00:00:00,,23298,9706.46520058,2859.46536639,4262.9836477878,16828.9142147578,
2021-02-28T00:00:00,,18989,8601.6858043525,2410.5669159,3169.15628897,14181.4090092225,
2021-03-31T00:00:00,,23380,10624.454010515,3045.95779727,4370.00186982,18040.413677605,
2021-04-30T00:00:00,,19889,8735.9224826225,2854.79622064,4004.18053101,15594.8992342725,
2021-05-31T00:00:00,,11495,5295.5668290275,1594.75545523,2015.94006174,8906.2623459975,
2021-06-30T00:00:00,,11309,3996.0889425725,1688.5085102,2637.43573416,8322.0331869325,
2021-07-31T00:00:00,,12809,5017.906374855,1865.710218615,2497.52902164,9381.14561511,
2021-08-31T00:00:00,,17143,7899.0906624925,2716.0427662,2121.12017866,12736.2536073525,
2021-09-30T00:00:00,,15453,7717.3541708875,2634.26512665,1684.541436605,12036.1607341425,
2021-10-31T00:00:00,,16223,9491.07262113001,2271.51674616,376.40421375,12138.99358104,
2021-11-30T00:00:00,,15406,9082.15524461202,2275.724684355,415.015406919,11772.895335886,
2021-12-31T00:00:00,,16087,10024.755382317,2183.48115865,393.5507551,12601.787296067,
2022-01-31T00:00:00,,16442,9403.24908498498,2105.62650289,641.973062620001,12150.848650495,
2022-02-28T00:00:00,,11615,6818,1498,468,8783.69019685002,
2022-03-31T00:00:00,,18999,9223.86174833999,2955.81535739,3096.09729016,15275.77439589,
2022-04-30T00:00:00,,11255,5901.885738079,1707.11364643,1610.4302308,9219.429615309,
2022-05-31T00:00:00,,10943,6784.96577443998,1604.62543218,420.442694089999,8810.033901,
2022-06-30T00:00:00,,16487,9415.02329277898,3167.22094693,539.958883919,13122.20312362798,
2022-07-31T00:00:00,,9047,5392.13343018901,1513.816244249,282.59137757,7188.54105200801,
2022-08-31T00:00:00,,16255,8606.72483116402,3617.645375235,472.36631746,12696.736523859021,
2022-09-30T00:00:00,,12902,6708.43171078499,2824.70894203,396.48727959,9929.627932404988,
2022-10-31T00:00:00,,12397,6189.937355651,2717.412166219,444.59536608,9351.944887950001,
