,,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,
Table 28b: SADAD System Payments Value* ,,,,جدول 28b:  مبـالـغ  مـدفـوعــات نظام ســــداد*,
(Value in Thousand ﷼),,,, (القيمة بالألف ﷼),
,,مبالغ الفواتير المسددة      Value of Bills Paid,,,
الفترة,,,,,
Period,, من خلال سداد, من خلال قنوات أخرى,الإجمالي,
,, Through SADAD,Through Other Channels,Total ,
2015-12-31T00:00:00,,18600336,825873,19426209,
2016-01-31T00:00:00,,15523013,657827,16180840,
2016-02-29T00:00:00,,15853952,510721,16364673,
2016-03-31T00:00:00,,17139828,599330,17739158,
2016-04-30T00:00:00,,19636932,655854,20292786,
2016-05-31T00:00:00,,27445472,674252,28119724,
2016-06-30T00:00:00,,19641980,654398,20296378,
2016-07-31T00:00:00,,15095982,596111,15692093,
2016-08-31T00:00:00,,21987867,1169437,23157304,
2016-09-30T00:00:00,,16109202,648419,16757621,
2016-10-31T00:00:00,,19784035,571753,20355788,
2016-11-30T00:00:00,,17818908,662633,18481541,
2016-12-31T00:00:00,,18522561,890154,19412715,
2017-01-31T00:00:00,,18447729,744081,19191810,
2017-02-28T00:00:00,,15883452,564937,16448389,
2017-03-31T00:00:00,,18764114,593281,19357395,
2017-04-30T00:00:00,,25157490,577914,25735404,
2017-05-31T00:00:00,,24900624,726218,25626842,
2017-06-30T00:00:00,,17612366,429100,18041466,
2017-07-31T00:00:00,,23044739.485,620744.108,23665483.593,
2017-08-31T00:00:00,,23616377.085,666858.423,24283235.508,
2017-09-30T00:00:00,,17135631.451,495097.351,17630728.802,
2017-10-31T00:00:00,,23088185.59,1205970.094,24294155.684,
2017-11-30T00:00:00,,20912736,2019624,22932360,
2017-12-31T00:00:00,,21919526,1678080,23597606,
2018-01-31T00:00:00,,22380804,1316895,23697699,
2018-02-28T00:00:00,,21381525,1699624,23081149,
2018-03-31T00:00:00,,26699582,1663383,28362965,
2018-04-30T00:00:00,,37227763,944583,38172346,
2018-05-31T00:00:00,,36413800,594221,37008021,
2018-06-30T00:00:00,,21925481,527990,22453471,
2018-07-31T00:00:00,,39630635.256,607242.256,40237877.511999995,
2018-08-31T00:00:00,,24722864,622637,25345501,
2018-09-30T00:00:00,,29148368.315,572371.818,29720740.133,
2018-10-31T00:00:00,,33505314.957,765940.269,34271255.225999996,
2018-11-30T00:00:00,,28452055.068,577975.482,29030030.55,
2018-12-31T00:00:00,,35056659.665,1434291.463,36490951.128,
2019-01-31T00:00:00,,38809295.314,590906.4,39400201.714,
2019-02-28T00:00:00,,28115170.084,11535295.6,39650465.684,
2019-03-31T00:00:00,,32216949.96744,2226322.309,34443272.27644,
2019-04-30T00:00:00,,37107876.64967,447989.321,37555865.97067,
2019-05-31T00:00:00,,42604499.04973,557626.782,43162125.83173,
2019-06-30T00:00:00,,27637085.65528,312055.96,27949141.615280002,
2019-07-31T00:00:00,,43580773.24,421947.011,44002720.251,
2019-08-31T00:00:00,,28186531.136,628337.364,28814868.5,
2019-09-30T00:00:00,,35300005.012,1204464.143,36504469.155,
2019-10-31T00:00:00,,36573750.11271,1617792.47775,38191542.59046,
2019-11-30T00:00:00,,34348142.94318,1583299.546,35931442.48918,
2019-12-31T00:00:00,,37348978.973,1920346.304,39269325.276999995,
2020-01-31T00:00:00,,34920616.08302,1535954.43016,36456570.51318,
2020-02-29T00:00:00,,29741268.90908,639459.18809,30380728.09717,
2020-03-31T00:00:00,,29314397.16032,1622191.83288,30936588.9932,
2020-04-30T00:00:00,,15363321.08513,999391.01515,16362712.10028,
2020-05-31T00:00:00,,19292945.051,1321336.98285,20614282.03385,
2020-06-30T00:00:00,,30214107.08,1564747.18,31778854.259999998,
2020-07-31T00:00:00,,52223621.87013,1457730.37494,53681352.24507,
2020-08-31T00:00:00,,43004365.97002,1294823.8439,44299189.813920006,
2020-09-30T00:00:00,,51222832.52916,1583720.79302,52806553.32218,
2020-10-31T00:00:00,,47316748.69926,1429095.39702,48745844.09627999,
2020-11-30T00:00:00,,49082736.44669,7590510.84344,56673247.290130004,
2020-12-31T00:00:00,,48673514.34204,9849327.62884,58522841.97088,
2021-01-31T00:00:00,,44151440.186,2096234.132,46247674.317999996,
2021-02-28T00:00:00,,40155976.51255,1761195.38668,41917171.899229996,
2021-03-31T00:00:00,,46611555.67172,2296321.9352,48907877.60692,
2021-04-30T00:00:00,,46701693.24155,2089876.32307,48791569.564619996,
2021-05-31T00:00:00,,54496179.1894316,2061815.50716,56557994.6965916,
2021-06-30T00:00:00,,46676166.2676825,2176917.91485,48853084.1825325,
2021-07-31T00:00:00,,46270847.0543155,2266080.88981,48536927.9441255,
2021-08-31T00:00:00,,53109928.5966116,2204469.21082,55314397.80743159,
2021-09-30T00:00:00,,49627670.4672791,2215189.03749,51842859.5047691,
2021-10-31T00:00:00,,52911504.021,2523799.692,55435303.713,
2021-11-30T00:00:00,,48759600.5430069,2304702.68064,51064303.223646894,
2021-12-31T00:00:00,,50943183.044906,4081334.10079,55024517.145696,
2022-01-31T00:00:00,,50716634.364989,4076364.68379,54792999.048778996,
2022-02-28T00:00:00,,43519761.006,2041157.045,45560918.051,
2022-03-31T00:00:00,,50792028.5957165,2803591.24059,53595619.8363065,
2022-04-30T00:00:00,,55557489,2621437,58178926,
2022-05-31T00:00:00,,62207258.59582,3090392.31203,65297650.907850005,
2022-06-30T00:00:00,,53845852.2705395,3193138.59418,57038990.8647195,
2022-07-31T00:00:00,,54699488.7484041,2907508.972,57606997.7204041,
