,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,,القائمة الرئيسية   Main List,,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,,,,,,,,,,,,,,,,,
Table 30b: Distribution of ATMs by Bank,,,,,,,,,,,جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف,,Contd. 2 table 30b: Distribution of ATMs by Bank,,,,,,,,,,,,تابع 2 جدول 30b: توزيع أجهزة الصرف الآلي حسب المصرف
,,,,,,,,,,,,,,,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك ,بنك الإمارات ,بنك ,بنك ,مصرف,بنك ,بنك,بنك,بنك قطر, أخرى **,المجموع
الفترة,,السعودي***,,الفرنسي,الوطني,الأول*,الجزيرة,,للإستثمار,الراجحي,المالية ***,,الفترة,,البلاد ,دبي الوطني,الكويت الوطني,مسقط,الإنماء, البحرين الوطني,الخليج الدولي,أبو ظبي الأول,الوطني,,
End of,, Saudi National ,Riyad, Banque Saudi ,The Arab,Saudi Awwal,Bank,Alawwal,Saudi Investment,Al-Rajhi ,Samba,,End of,,AL-Bilad,Emirates, National Bank , Muscat,Alinma,  National Bank ,Gulf International,First Abu Dhabi,Qatar National, Others **,Total
Period,, Bank***,  Bank,Fransi,National Bank,Bank*, Al-Jazira,Bank*,Bank,Bank,Financial Group***,,Period,,Bank ,NBD,of Kuwait,Bank,Bank,of Bahrain,Bank,Bank,Bank,,
Q1,2020,3719,2538,469,1141,1401,599,---,418,5259,535,,Q1,2020,982,18,4,0,1537,2,12,---,---,0,18634
Q2,2020,3698,2534,468,1133,1380,598,---,418,5253,526,,Q2,2020,986,19,4,0,1528,2,12,---,---,0,18559
Q3,2020,3583,2499,471,1203,1336,600,---,412,5261,526,,Q3,2020,992,20,4,0,1533,4,12,---,---,0,18456
Q4,2020,3571,2486,472,1199,1236,612,---,409,5211,528,,Q4,2020,978,20,4,0,1557,4,12,---,---,0,18299
Q1,2021,2642,2452,470,1206,1135,614,---,399,5074,530,,Q1,2021,981,25,4,0,1565,2,12,6,---,0,17117
Q2,2021,3143,2389,469,1183,1109,615,---,368,4930,---,,Q2,2021,965,27,4,0,1544,2,0,6,---,0,16754
Q3,2021,3113,2285,470,1179,1098,620,---,369,4910,---,,Q3,2021,963,26,4,0,1577,2,0,6,---,0,16622
Q4,2021,3118,2242,466,1142,1089,635,---,372,4891,---,,Q4,2021,964,29,4,0,1584,2,0,6,---,0,16544
Q1,2022,3131,2235,456,1144,1085,631,---,371,4844,---,,Q1,2022,953,29,4,0,1572,2,0,6,---,0,16463
Q2,2022,3087,2240,457,1146,1088,626,---,369,4824,---,,Q2,2022,936,29,4,0,1584,2,0,6,---,0,16398
Q3,2022,3052,2220,458,1145,1088,621,---,369,4776,---,,Q3,2022,946,28,4,0,1553,2,0,6,---,0,16268
Q4,2022,3065,2219,460,1148,1086,622,---,376,4727,---,,Q4,2022,941,31,4,0,1564,2,0,6,---,0,16251
Q1,2023,3033,2231,450,1178,1086,630,---,377,4679,---,,Q1,2023,938,32,4,0,1525,2,0,6,---,0,16171
Q2,2023,3012,2226,451,1174,1074,642,---,373,4644,---,,Q2,2023,935,35,4,0,1511,2,0,6,---,0,16089
Q3,2023,2999,2214,452,1185,1082,643,---,370,4604,---,,Q3,2023,941,41,4,0,1509,2,0,6,---,0,16052
Q4,2023,2940,2218,457,1178,1091,641,---,372,4552,---,,Q4,2023,939,50,4,0,1504,2,0,6,---,0,15954
Q1,2024,2932,2174,452,1187,1067,627,---,372,4515,---,,Q1,2024,920,55,4,0,1509,2,0,6,---,0,15822
