,,,,,,
القائمة الرئيسية   Main List,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,
Table 1: RIYAL - SDR  Exchange Rate,,,,,جدول 1:  سعر الـصرف للريال وحقوق السحب الخاصة,
,,,,,,
,,ريال سعودي لكل وحدة حقوق سحـب خاصة ,,وحـدة حقوق سحـب خاصة لكل ريال سعودي,,
الفترة,,Saudi Riyal per SDR,,SDR per Saudi Riyal,,
Period,,نهاية,متوسط,نهاية,متوسط,
,,End,Average,End,Average,
2012-03-31T00:00:00,,5.80906,5.77768,0.172144890911783,0.17308195446393,
2012-04-30T00:00:00,,5.81456,5.78630380952381,0.171982058831623,0.17282330370991,
2012-05-31T00:00:00,,5.66348,5.74124227272727,0.176569882828226,0.174188908889105,
2012-06-30T00:00:00,,5.69081,5.68280380952381,0.175721909534847,0.175970892427379,
2012-07-31T00:00:00,,5.65624,5.64824666666667,0.176795892677821,0.17704851625983,
2012-08-31T00:00:00,,5.70757,5.6728647826087,0.175205910746605,0.176280049300918,
2012-09-30T00:00:00,,5.78322,5.76799368421053,0.17291405134164,0.173375734591774,
2012-10-31T00:00:00,,5.77714,5.777732,0.173096030215643,0.173078963056804,
2012-11-30T00:00:00,,5.75553,5.7358585,0.173745945204004,0.1743430221375,
2012-12-31T00:00:00,,5.76346,5.76995111111111,0.173506886488325,0.173312765216514,
2013-01-31T00:00:00,,5.78001,5.75771238095238,0.173010081297437,0.173681558010794,
2013-02-28T00:00:00,,5.68062,5.72655315789474,0.176037122708437,0.174631487818415,
2013-03-31T00:00:00,,5.62199,5.635848,0.177872959574812,0.177436618251674,
2013-04-30T00:00:00,,5.65873,5.64090863636364,0.176718097523649,0.177277303962931,
2013-05-31T00:00:00,,5.62038,5.62303863636364,0.177923912618008,0.177845521429199,
2013-06-30T00:00:00,,5.63984,5.677699,0.177309994609776,0.176133665432315,
2013-07-31T00:00:00,,5.67472,5.64041285714286,0.176220148306877,0.177297242086243,
2013-08-31T00:00:00,,5.68227,5.69455727272727,0.175986005592835,0.175607630532317,
2013-09-30T00:00:00,,5.75281,5.711514,0.17382809444428,0.175090538904159,
2013-10-31T00:00:00,,5.76764,5.77250954545455,0.173381140293083,0.173236698466697,
2013-11-30T00:00:00,,5.75702,5.73798421052632,0.173700977241698,0.174277790700394,
2013-12-31T00:00:00,,5.77501,5.76821789473684,0.173159873316237,0.173364598107202,
2014-01-31T00:00:00,,5.75324,5.7580819047619,0.173815102446621,0.173669649448897,
2014-02-28T00:00:00,,5.80275,5.77414421052632,0.172332083925725,0.173187842617608,
2014-03-31T00:00:00,,5.79609,5.80257052631579,0.17253010218958,0.172338229264294,
2014-04-30T00:00:00,,5.81135,5.80553285714286,0.172077056105724,0.172250316601732,
2014-05-31T00:00:00,,5.77677,5.80225047619048,0.173107116952899,0.172348962619853,
2014-06-30T00:00:00,,5.7971,5.77927619047619,0.172500043125011,0.173032446751867,
