,,,,
القائمة الرئيسية   Main List,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,
,,,,
,,,,
,,,,
Table 5: Monetary Ratios,,,,جدول 5  : نــســـــــب نـقـــــديــــــــة 
(Percentage Shares),,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول خارج المصارف / ن3,ن1/ ن3,ن2/ ن3
End of Period,,Currency Outside Banks /M3,M1/M3,M2/M3
1995-12-31T00:00:00,,17.821647539379647,51.48351622216438,76.80626057337149
1996-01-31T00:00:00,,18.18463310547042,51.891947141745874,76.76766740859769
1996-02-29T00:00:00,,18.43674413272109,52.280723104211624,76.85122646642355
1996-03-31T00:00:00,,18.25136748300504,52.00071848628346,77.04314792368596
1996-04-30T00:00:00,,18.888758662090627,52.911157126758,78.08264254663642
1996-05-31T00:00:00,,18.09272513804847,53.363782905105126,78.14419553353818
1996-06-30T00:00:00,,17.923701164093977,52.99221952746671,77.41464924271575
1996-07-31T00:00:00,,17.52655069037792,52.57273473267473,77.97936008076243
1996-08-31T00:00:00,,16.930533074065853,51.516387091640816,77.86917435839904
1996-09-30T00:00:00,,16.55845260238736,51.37880865170478,77.82856212957981
1996-10-31T00:00:00,,16.543173436545956,51.287499474320484,78.1582211782897
1996-11-30T00:00:00,,16.435417474166414,51.002941659499655,77.96048170891584
1996-12-31T00:00:00,,16.6604244708631,51.458090226420794,78.97436716328609
1997-01-31T00:00:00,,17.836019620735186,53.69658273728051,79.96819104941363
1997-02-28T00:00:00,,16.838394803420087,52.71278241397398,79.47806291355852
1997-03-31T00:00:00,,16.9630038632081,53.01796479889768,79.48581350199018
1997-04-30T00:00:00,,16.980277418595303,53.65691840568048,79.92665354699102
1997-05-31T00:00:00,,17.21970845737508,53.674549161626075,79.52165483632088
1997-06-30T00:00:00,,17.563691141852146,53.57919633842775,79.29925047485732
1997-07-31T00:00:00,,17.28323109296178,53.73826638125902,80.1511552256095
1997-08-31T00:00:00,,16.92098312875106,52.82060306738692,79.85138522591654
1997-09-30T00:00:00,,16.737135440332015,52.115017882764214,79.3292727265776
1997-10-31T00:00:00,,16.838452004538183,52.51041485928491,80.01809831229814
1997-11-30T00:00:00,,16.61895608150902,51.98013842212209,79.76996666852413
1997-12-31T00:00:00,,16.812842869550018,51.80127130916943,80.11382871241972
1998-01-31T00:00:00,,17.629118615892146,52.908451714798865,80.89677566637351
1998-02-28T00:00:00,,17.21892032203311,52.43133628303006,80.71716519823524
1998-03-31T00:00:00,,17.64709647303409,53.030696693778765,81.47043527913806
1998-04-30T00:00:00,,17.18394419551423,53.178055003456635,81.26712641726587
1998-05-31T00:00:00,,17.12448526337537,53.35702320694244,81.69444255974354
