,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,
Table 27c: SARIE Messages (Bulk Transactions)*,,,,,,,,جدول 27c:  عدد رسائل ســريــع (عمليات مجمعة)*,
,,,,,,,,,
,, مدفوعات العملاء ,,,مدفوعات ما بين المصارف,,,,
الفترة,,Customer Payments,,,Interbank Payments,,,المجموع,
,,مجمعة,مفردة,مجموع,مجمعة,مفردة,مجموع,Total,
Period,,,,Total,,,Total,(1+2),
,,Bulk,Single,(1),Bulk,Single,(2),,
2019-03-31T00:00:00,,308153,1157114,1465267,2729,51564,54293,1519560,
2019-04-30T00:00:00,,328014,1166063,1494077,2818,66708,69526,1563603,
2019-05-31T00:00:00,,382881,1300258,1683139,2805,72211,75016,1758155,
2019-06-30T00:00:00,,228131,967618,1195749,1961,39449,41410,1237159,
2019-07-31T00:00:00,,358444,1145838,1504282,3153,58452,61605,1565887,
2019-08-31T00:00:00,,283010,882087,1165097,2488,56421,58909,1224006,
2019-09-30T00:00:00,,337362,1048440,1385802,2855,57728,60583,1446385,
2019-10-31T00:00:00,,384052,1136912,1520964,3191,58674,61865,1582829,
2019-11-30T00:00:00,,326440,1027392,1353832,2760,51858,54618,1408450,
2019-12-31T00:00:00,,434142,1289321,1723463,3333,61886,65219,1788682,
2020-01-31T00:00:00,,340707,1125780,1466487,2734,52640,55374,1521861,
2020-02-29T00:00:00,,312262,1012565,1324827,2707,51754,54461,1379288,
2020-03-31T00:00:00,,367906,1424432,1792338,3275,64161,67436,1859774,
2020-04-30T00:00:00,,328160,1672094,2000254,3431,63867,67298,2067552,
2020-05-31T00:00:00,,322272,2026889,2349161,3534,57196,60730,2409891,
2020-06-30T00:00:00,,367968,2062900,2430868,3551,66483,70034,2500902,
2020-07-31T00:00:00,,403496,2148577,2552073,3641,74130,77771,2629844,
2020-08-31T00:00:00,,337623,2130530,2468153,3676,79151,82827,2550980,
2020-09-30T00:00:00,,406909,2051564,2458473,3945,80449,84394,2542867,
2020-10-31T00:00:00,,419255,989009,1408264,3755,71648,75403,1483667,
2020-11-30T00:00:00,,479075,602827,1081902,4305,105260,109565,1191467,
2020-12-31T00:00:00,,566517,609722,1176239,5085,119758,124843,1301082,
2021-01-31T00:00:00,,393338,552361,945699,4253,88034,92287,1037986,
2021-02-28T00:00:00,,391519,534713,926232,3844,76789,80633,1006865,
2021-03-31T00:00:00,,446693,725351,1172044,4271,86937,91208,1263252,
2021-04-30T00:00:00,,393041,363165,756206,4530,62832,67362,823568,
2021-05-31T00:00:00,,376259,210421,586680,3798,49713,53511,640191,
2021-06-30T00:00:00,,396699,210195,606894,3731,62316,66047,672941,
2021-07-31T00:00:00,,337617,252311,589928,3922,58171,62093,652021,
2021-08-31T00:00:00,,432141,230554,662695,5109,71319,76428,739123,
2021-09-30T00:00:00,,422617,233561,656178,4921,74305,79226,735404,
2021-10-31T00:00:00,,404729,220719,625448,4167,73306,77473,702921,
2021-11-30T00:00:00,,464629,227669,692298,5263,85762,91025,783323,
2021-12-31T00:00:00,,511063,245682,756745,7163,98848,106011,862756,
2022-01-31T00:00:00,,372811,193876,566687,5948,86386,92334,659021,
2022-02-28T00:00:00,,365672,151157,516829,5350,114273,119623,636452,
