,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,
Table 29c: Remittance Services Centers,,,,,,,,,,جدول 29c: مراكز الحوالات,
,,,,,,,,,,,
نهاية,,البنك الأهلي,بنك الرياض,البنك العربي,بنك الجزيرة,مصرف الراجحي,مجموعة سامبا,بنك البلاد,مصرف الإنماء,المجموع,
الفترة,,السعودي*,,الوطني,,,المالية *,,,,
End of,,Saudi National ,Riyad,The Arab, Bank ,Al-Rajhi ,Samba,Bank,Alinma,Total ,
Period,,Bank*,  Bank,National Bank,Al-Jazira,Bank,Financial Group *, Albilad ,Bank,,
2010-06-30T00:00:00,,10,---,64,---,133,33,100,---,340,
2010-07-31T00:00:00,,11,---,64,---,134,33,100,---,342,
2010-08-31T00:00:00,,15,---,64,---,135,33,100,---,347,
2010-09-30T00:00:00,,15,---,64,---,135,33,100,---,347,
2010-10-31T00:00:00,,17,---,68,---,136,33,101,---,355,
2010-11-30T00:00:00,,17,---,70,---,138,33,101,---,359,
2010-12-31T00:00:00,,18,---,72,---,140,33,104,---,367,
2011-01-31T00:00:00,,18,---,72,---,140,33,104,---,367,
2011-02-28T00:00:00,,18,---,72,---,140,33,108,---,371,
2011-03-31T00:00:00,,19,---,72,---,141,33,109,---,374,
2011-04-30T00:00:00,,21,---,72,---,143,33,109,---,378,
2011-05-31T00:00:00,,22,---,72,---,143,33,110,---,380,
2011-06-30T00:00:00,,23,---,72,---,144,33,110,---,382,
2011-07-31T00:00:00,,24,---,73,---,147,33,114,---,391,
2011-08-31T00:00:00,,24,---,74,---,147,33,116,---,394,
2011-09-30T00:00:00,,24,---,75,---,147,33,118,---,397,
2011-10-31T00:00:00,,24,---,76,---,149,33,120,---,402,
2011-11-30T00:00:00,,24,---,76,---,149,32,123,---,404,
2011-12-31T00:00:00,,25,---,77,---,153,32,126,---,413,
2012-01-31T00:00:00,,25,---,77,---,154,32,128,---,416,
2012-02-29T00:00:00,,25,---,77,---,154,32,131,---,419,
2012-03-31T00:00:00,,25,---,77,---,154,32,132,---,420,
2012-04-30T00:00:00,,25,---,76,---,156,32,135,---,424,
2012-05-31T00:00:00,,25,---,77,---,156,32,135,---,425,
2012-06-30T00:00:00,,25,---,77,---,156,32,136,---,426,
2012-07-31T00:00:00,,25,---,78,---,157,32,138,---,430,
2012-08-31T00:00:00,,25,---,78,---,157,32,138,---,430,
2012-09-30T00:00:00,,25,---,87,---,158,32,138,---,440,
2012-10-31T00:00:00,,27,---,87,---,158,32,139,---,443,
2012-11-30T00:00:00,,28,---,87,---,159,32,142,---,448,
2012-12-31T00:00:00,,28,---,89,---,161,32,144,---,454,
2013-01-31T00:00:00,,28,---,89,---,161,32,144,---,454,
2013-02-28T00:00:00,,29,---,88,---,161,32,144,---,454,
2013-03-31T00:00:00,,31,---,88,---,161,32,144,---,456,
2013-04-30T00:00:00,,36,---,88,---,162,32,144,---,462,
2013-05-31T00:00:00,,43,---,88,---,162,32,145,---,470,
2013-06-30T00:00:00,,43,---,89,---,165,32,147,---,476,
2013-07-31T00:00:00,,44,---,88,---,167,32,147,---,478,
2013-08-31T00:00:00,,44,---,88,---,167,32,147,---,478,
2013-09-30T00:00:00,,44,---,90,---,167,32,147,---,480,
2013-10-31T00:00:00,,44,1,90,---,167,32,147,---,481,
2013-11-30T00:00:00,,53,1,91,---,167,32,149,---,493,
2013-12-31T00:00:00,,57,1,93,1,168,32,151,---,503,
2014-01-31T00:00:00,,58,8,93,1,168,32,151,---,511,
2014-02-28T00:00:00,,58,8,92,1,169,32,151,---,511,
2014-03-31T00:00:00,,58,8,92,1,170,32,152,---,513,
2014-04-30T00:00:00,,59,9,92,2,171,32,152,---,517,
2014-05-31T00:00:00,,59,10,92,3,174,32,152,---,522,
2014-06-30T00:00:00,,61,10,92,4,174,32,153,---,526,
2014-07-31T00:00:00,,66,10,92,5,174,32,153,---,532,
2014-08-31T00:00:00,,66,10,94,6,175,32,154,---,537,
2014-09-30T00:00:00,,73,10,94,6,175,32,155,---,545,
2014-10-31T00:00:00,,74,10,94,7,175,32,155,---,547,
2014-11-30T00:00:00,,82,10,94,8,175,31,157,---,557,
2014-12-31T00:00:00,,97,10,94,10,175,31,158,---,575,
2015-01-31T00:00:00,,97,10,94,12,175,31,156,---,575,
2015-02-28T00:00:00,,97,21,95,13,175,31,156,---,588,
2015-03-31T00:00:00,,98,21,95,16,176,31,156,---,593,
2015-04-30T00:00:00,,98,21,95,17,176,31,157,---,595,
2015-05-31T00:00:00,,98,21,95,21,176,31,158,---,600,
