,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,
Table 10b: Consolidated Balance Sheet of Commercial Banks - Liabilities *,,,,,,,,,,,جدول 10b:  المركز المالي  الموحـــــــد  للمـــــصـــــــارف الـتـجـــــاريـــة - الـمـطــلــوبـــــــات *,
(Million ﷼),,,,,,,,,,,(مليون ﷼),
نهاية الفترة,,مجموع,المطـلوبات,Capital Accounts            حســاب رأس المــال,,,,مطلوبات ,**اتفاقيات ,مطـلوبـات,إجمالي,
,,الودائع,الأجنبية,المجموع,الإحتياطيات,رأس المال,***(أرباح الفترة (تراكمي,ما بين المصارف,إعادة الشراء,أخــرى,المطـلوبات,
End of Period,,Total,Foreign,,,,Period Profits,Inter Bank,Repos**,Other,Total,
,,Deposits,Liabilities,Total,Reserves,Capital ,(Cumulative)***,Liabilities,,Liabilities,Liabilities,
Q1,2014,1488113.137,89359.711,268262.85,138600.247,119321.726,10340.877,23200.372000000003,9333.392,140699.669,2018969.1309999998,1990675.4079999998
Q2,2014,1509952.327,84064.006,274981.171,108856.592,145085.119,21039.46,24973.457000000002,13037.759,150624.573,2057633.293,2031721.6309999998
Q3,2014,1540134.862,87288.174,281358.774,105509.646,145085.119,30764.009,20740.300000000003,11392.515,152863.766,2093778.3909999998,2068472.007
Q4,2014,1588139.04,105119.075,287696.65,102532.522,145085.119,40079.009,19186.504999999997,9441.778,152961.898,2162544.9460000005,2132576.5140000004
Q1,2015,1632769.199,88792.94,294554.633,124295.961,159537.679,10720.993,21608.609,9728.533,158469.29799999998,2205923.212,2175807.953
Q2,2015,1656932.367,85280.371,300919.112,118078.412,160537.679,22303.021,21750.022,11561.536,158548.992,2234992.4000000004,2210113.2240000004
Q3,2015,1663813.59,91498.457,304842.108,111661.804,160537.679,32642.625,19680.701999999997,922.076,165184.856,2245941.7890000003,2223921.184
Q4,2015,1617090.273,99986.571,312838.27,109880.262,160537.679,42420.329,32726.721,1712.483,168900.029,2233254.3470000005,2208768.3819999998
Q1,2016,1619541.4121510799,89751.87198403999,321217.12668056,149108.17653299,160537.679,11571.27114757,39281.826223020005,2038.553,176616.78070053,2248447.5707392297,
Q2,2016,1601798.5257759,109284.31339044,326227.5519863999,135447.38499655,167753.039,23027.12798985,51428.91392,970.393,193238.80726137004,2282948.50533411,
Q3,2016,1592722.0003727898,125483.95126710049,329141.32954663003,128616.07172483,167753.039,32772.2188218,38439.9897288863,1915.354,191207.66802612002,2278910.2929415265,
Q4,2016,1629384.61526081,96101.0824317776,338789.9832698901,130639.42445746,167753.039,40397.51981243,34095.943209997095,1857.631,188771.819822993,2289001.074995468,
Q1,2017,1622310.32803655,96571.76473210231,343585.76887218,164520.91114652003,167753.039,11311.81872566,43996.1613584876,649.09,194074.54099227,2301187.6539915903,
Q2,2017,1648589.3604384998,92430.44916125,346108.40601219994,154284.27041289,169453.039,22371.096599309898,46967.651000000005,712.125,192836.7089183025,2327644.700530252,
Q3,2017,1615817.21680838,101513.6535585228,349921.52790255897,146930.11279228,169453.039,33538.376110279,53435.7018347221,31.677,195120.6705854199,2315840.4476896035,
Q4,2017,1633125.02193909,119186.08941118,360924.7445565565,147614.37162700001,169453.039,43857.333929556495,43477.19911772,705.404,193472.35157965004,2350890.810604196,
Q1,2018,1614396.63885441,86062.00207907999,351484.85694321996,169913.02479794002,169384.289,12187.54314528,30311.302327600002,21.113,216729.34392695004,2299005.25713126,
Q2,2018,1626347.0768437502,106839.60718418998,356591.589301,150189.04583325,182384.289,24018.25446775,42059.889622843795,2209.158,211767.49370325066,2345814.814655035,
Q3,2018,1658923.46627403,96576.38600926999,354822.26853147,136048.04742788,182384.289,36389.93210359,44684.064999999995,1533.024,218493.82617421,2375033.03598898,
Q4,2018,1673512.92585707,110933.26644153001,351586.83078817,121054.32027088,182384.289,48148.22151729,39055.909,471.749,222585.82481184,2398146.50589861,
Q1,2019,1644363.43731049,123176.28876835,364120.9054835,162330.46824616997,187887.789,13902.64823733,29571.691,2059.385,234615.25542719,2397906.96298953,
Q2,2019,1691451.9145454,135510.9934929,383218.16664506,159123.61024617,199251.514,24843.04239889,28779.766,1749.228,228904.20518099,2469614.2738643503,
