,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,,,
Table 10b: Consolidated Balance Sheet of Commercial Banks - Liabilities *,,,,,,,,,,,جدول 10b:  المركز المالي  الموحـــــــد  للمـــــصـــــــارف الـتـجـــــاريـــة - الـمـطــلــوبـــــــات *,
(Million ﷼),,,,,,,,,,,(مليون ﷼),
نهاية الفترة,,مجموع,المطـلوبات,Capital Accounts            حســاب رأس المــال,,,,مطلوبات ,**اتفاقيات ,مطـلوبـات,إجمالي,
,,الودائع,الأجنبية,المجموع,الإحتياطيات,رأس المال,***(أرباح الفترة (تراكمي,ما بين المصارف,إعادة الشراء,أخــرى,المطـلوبات,
End of Period,,Total,Foreign,,,,Period Profits,Inter Bank,Repos**,Other,Total,
,,Deposits,Liabilities,Total,Reserves,Capital ,(Cumulative)***,Liabilities,,Liabilities,Liabilities,
Q3,2019,1699237.2092581699,165166.73295193,383576.38637436996,145778.02541027,199251.514,38546.846964100005,21143.030000000002,238.043,236989.31614071998,2506350.71772519,
Q4,2019,1795979.1838346,173154.83832517,393290.91693213,143724.36820293,199251.514,50315.0347292,22463.254999999997,2931.618,243308.57533878,2631128.3874306805,
Q1,2020,1810488.12420914,185474.94141704,384266.45668961003,171740.70600657,199307.764,13217.98668304,40950.572,718.092,302235.72906610003,2724133.91538189,
Q2,2020,1842978.301795537,175562.41879658698,394160.005018817,175206.18891589998,204307.764,14646.052102917001,29370.451939123,661.098,389185.2957068579,2831917.571256922,
Q3,2020,1881081.9899063802,164456.75442977602,403542.61748023,171621.79333878,204307.764,27613.060141449998,32791.340094033,459.966,397363.84959882,2879696.5175092393,
Q4,2020,1942983.506445473,182066.02250321797,415799.345200877,172790.983090017,204307.764,38700.598110859995,28378.133721956998,1250.672,409147.5744296609,2979625.254301187,
Q1,2021,1980334.9784982991,174390.983738502,421835.704452759,205255.76119318,204307.764,12272.179259579,30114.959268291,832.853,427629.07548023504,3035138.5544380858,
Q2,2021,2030138.51324125,189546.96076072002,423250.84191753,199089.78129097997,199087.764,25073.29662655,51440.4,67.328,419749.53903428,3114193.5829537804,
Q3,2021,2057983.9397836241,185425.38412522,434988.40395554993,195721.46903145,199087.764,40179.1709241,41746.875924037,9.745,431087.440811533,3151241.7895999644,
Q4,2021,2104453.9135196,225726.74116967001,473399.77316566,220436.84903145,199087.764,53875.16013421,47296.073,13.327,426956.23416194995,3277846.0620168797,
Q1,2022,2166619.3750590496,211559.23783651,484591.07462086005,266747.47616566,201587.764,16255.8344552,60898.559,16.121,446675.11178457,3370359.47930099,
Q2,2022,2232569.36688754,249529.63477201,481125.10548453004,229046.52416566,219087.764,32990.81731887,40290.147,37.006,525544.7474145701,3529096.00755865,
Q3,2022,2266386.95490016,224864.03860626,487540.90932858,217041.25679066,219275.264,51224.38853792,85996.195349,73.112,500287.75291439996,3565148.9630984,
Q4,2022,2295406.310874,202529.814525,507000.08164900006,218452.645709,219275.292,69272.14394,92691.57494199998,2885.029,520436.416754,3620949.227744,
Q1,2023,2400766.77162768,204422.21687171995,514762.53133314,276469.38886308996,219275.292,19017.850470049998,100769.29109900001,1028.404,525144.15398225,3746893.3689137897,
Q2,2023,2439715.0063351505,240193.96488543996,521943.27670353994,249342.99592083998,234495.292,38104.988782700006,95657.650576,1054.261,529940.91857575,3828505.0780758797,
Q3,2023,2455348.19496525,259345.21068581002,518240.26394399424,225498.6762416815,234495.292,58246.29570231276,109392.023967,2678.472,556379.2934097935,3901383.4589718482,
Q4,2023,2473458.34533119,274703.45267190004,540967.5609799807,229075.29731218,234495.292,77396.9716678006,102311.33551,2549.254,563034.5007623982,3957024.449255469,
