,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,,,
Table 23: Private Sector Exports Financed Through Commercial Banks,,,,,,,,,جدول 23: صادرات القطاع الخاص الممولة عن طريق المصارف التجارية,
(Letters of Credit by Products),,,,,,,,, (إعتمادات مستندية حسب المنتجات),
(Million ﷼),,,,,,,,,(مليون ﷼),
,,الزراعة والإنتاج الحيواني,,المواد الكيميائية والبلاستيكية,,منتجات صناعية أخرى,,الإجمـــــــالي,,
الفترة,,Agricultural &,,Chemicals &,,Other Industrial,,,,
,, Animal Products,,Plastics,,Products,,Total,,
Period,,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,مفتوح,مسدد,
,,Opened,Settled,Opened,Settled,Opened,Settled,Opened,Settled,
Q2,2015,47.751000000000005,49.040000000000006,1876.2350000000001,1695.529,22612.692000000003,11731.114,24536.678,13475.682999999999,
Q3,2015,217.128,124.063,1453.17,1130.4089999999997,15566.826999999997,10577.324,17237.125,11831.795999999998,
Q4,2015,103.39600000000002,142.913,2391.7479999999996,1715.4010000000007,13511.765000000007,11643.524999999998,16006.909,13501.839,
Q1,2016,45.781,92.0166920682,1205.895,985.073,13751.1785063,10498.524661626401,15002.8545063,11575.6143536946,
Q2,2016,181.72899999999998,291.7667092549,755.7650000000001,552.9989999999999,14093.858745739997,10509.627749524498,15031.35274574,11354.393458779396,
Q3,2016,37.089,47.039166050699976,1335.581,871.769,9842.038376478005,7641.373482750201,11214.708376478,8560.181648800903,
Q4,2016,-114.93799999999999,-210.2087692421,1811.6999999999998,1013.6930000000002,14912.294018749992,9907.280137825797,16609.056018749994,10710.764368583692,
Q1,2017,27.993,13.95373211,1346.869,698.749,12601.988375446601,9324.628824200301,13976.8503754466,10037.3315563103,
Q2,2017,134.34300000000002,41.7099918712,2920.2750000000005,904.748,11676.479173599999,9034.377733397601,14731.0971736,9980.835725268802,
Q3,2017,21.331999999999994,36.9806470632,3238.339,690.6020000000001,14755.078997578403,8826.991502448,18014.7499975784,9554.574149511202,
Q4,2017,158.10199999999998,18.0733999567,4596.606,1321.2799999999997,18470.8410024216,9968.1651164879,23225.549002421612,11307.518516444601,
Q1,2018,132.134,107.543,3640.254,1315.296,12706.328,9672.527,16478.716,11095.366,
Q2,2018,-48.52799999999999,-69.584,4415.162,559.731,15764.305999999999,9429.07908184,20130.940000000002,9919.226081840001,
Q3,2018,39.105000000000004,35.351,4102.967,1517.3310000000001,12083.794999999998,9874.15791816,16225.866999999998,11426.83991816,
Q4,2018,10.760000000000005,19.331000000000003,3683.1839999999993,867.576,17697.006,11152.643,21390.949999999997,12039.550000000003,
Q1,2019,27.834,39.979,3225.677,715.89,10814.722,9788.211,14068.233,10544.08,
Q2,2019,36.06,34.714,1784.2769999999996,746.303,12062.589000000002,8085.343000000001,13882.926,8866.359999999999,
Q3,2019,83.839,51.909000000000006,2900.0120000000006,1562.6580000000001,9847.286,6324.094000000001,12831.137000000002,7938.661,
Q4,2019,74.78399999999999,41.52099999999999,1394.78255,-408.1574800000003,14568.112047999995,9878.192534999995,16037.678598000006,9511.556055000005,
Q1,2020,151.957,103.894,2409.303,529.096,12082.2765565225,9407.152,14643.5365565225,10040.142,
Q2,2020,95.38389000000001,2.70805,793.8370199999999,271.79337,11661.789443477499,8059.292230000001,12551.0103534775,8333.793650000003,
Q3,2020,38.786,98.30689,1643.1702500000001,332.6332400000002,10909.292000000001,7177.614999999998,12591.248249999993,7608.555129999997,
Q4,2020,54.70800000000003,23.519000000000005,2147.93635,626.9070499999998,13729.407,7508.609461870001,15932.051350000002,8159.035511869995,
Q1,2021,53.687,22.175,4663.438,1320.205,13363.715,8948.751,18080.84,10291.131,
Q2,2021,150.21699999999998,93.974,5072.950999999999,2155.484,10133.625,5925.708999999999,15356.793000000001,8175.1669999999995,
Q3,2021,106.37493712499997,102.75999999999999,7756.231,3264.9519999999998,19811.283,8918.68,27673.888937124997,12286.392,
Q4,2021,390.958062875,162.06,10561.544000000002,4762.401,18579.250310000003,9309.300000000003,29531.75237287501,14233.761000000002,
Q1,2022,295.869,445.087,7468.199,3360.753,18614.178,11621.24514,26378.246,15427.085140000001,
Q2,2022,-100.19700000000003,-285.801,6016.227,4489.334000000001,10367.473999999998,8077.927859999998,16283.504,12281.460859999997,
Q3,2022,148.614,165.39999999999998,10662.792000000001,4890.158,18954.696,12586.3133925,29766.102,17641.8713925,
Q4,2022,134.012,299.3310000000001,8541.805,4141.1900000000005,20374.43400000001,10998.458000000002,29050.251000000004,15438.979,
Q1,2023,251.104,202.103,4633.91,978.274,18090.194,14475.034,22975.208,15655.411,
Q2,2023,360.9016634619999,62.75200000000001,11515.714,5993.621,15010.230472658,8887.587,26886.846136120002,14943.96,
Q3,2023,59.780000000000086,73.16499999999996,5311.756000000001,1824.2489999999998,15149.493954664002,10906.467000000004,20521.029954664,12803.881000000001,
Q4,2023,71.21852407300003,45.325000000000045,3799.0829999999987,1286.6350000000002,15056.163361360996,10060.928,18926.46488543399,11392.887999999999,
Q1,2024,483.709,139.822,4566.571,2372.415,13156.633699518,11176.959,18206.913699518,13689.196,
Q2,2024,293.43,138.73700000000002,5177.1849999999995,1878.2489999999998,13839.132215548,8668.264999999998,19309.747215548,10685.251,
Q3,2024,452.7420000000001,458.479,5050.657000000001,2509.312,20447.524364934,11441.993320000001,25950.923364934002,14409.784319999999,
Q4,2024,395.2739999999999,340.89300000000003,4218.4619999999995,2780.9489999999996,21281.08653999999,12629.48821,25894.822539999986,15751.33021,
Q1,2025,518.67,212.753,3620.5795099999996,2273.098,16793.10209905,13071.68971,20932.351609049998,15557.540710000001,
Q2,2025,180.1790000000001,169.33300000000003,6250.921490000001,2367.916,17827.345659999995,13154.021289999999,24258.446149999996,15691.27029,
Q3,2025,1063.234,1022.2359999999999,6990.966,2640.518,21937.552770794944,14037.145,29991.75277079495,17699.898999999998,
Q4,2025,370.17999999999984,138.6840000000002,936.8040000000001,1422.240999999999,19632.369757430002,11396.193,20939.35375743,12957.118000000002,
