,,,,,
القائمة الرئيسية   Main List,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,
,,,,,
Table 4b: Money Supply Components in M3,,,,,جدول4b :   مــــكــــونـــــات عـــــرض الـنـقـــــــــود فــــي ن3
(Percentage Shares),,,,,(نـسـب مـئـوية)
نهاية الفترة,,النقد المتداول,الودائع,الودائع الزمنية ,الودائع الأخرى
,,خارج المصارف, تحت الطلب,والإدخارية,شبه النقدية
End of Period,,Currency,Demand,Time & Savings,Other Quasi-
,,Outside Banks,Deposits,Deposits,Money Deposits
1996-10-31T00:00:00,,16.543173436545956,34.74432603777453,26.870721703969224,21.841778821710303
1996-11-30T00:00:00,,16.435417474166414,34.567524185333234,26.957540049416174,22.03951829108416
1996-12-31T00:00:00,,16.6604244708631,34.7976657555577,27.516276936865296,21.025632836713914
1997-01-31T00:00:00,,17.836019620735186,35.86056311654532,26.271608312133132,20.03180895058635
1997-02-28T00:00:00,,16.838394803420087,35.874387610553896,26.76528049958453,20.521937086441483
1997-03-31T00:00:00,,16.9630038632081,36.05496093568958,26.4678487030925,20.51418649800983
1997-04-30T00:00:00,,16.980277418595303,36.67664098708518,26.26973514131055,20.073346453008988
1997-05-31T00:00:00,,17.21970845737508,36.454840704251,25.84710567469479,20.478345163679123
1997-06-30T00:00:00,,17.563691141852146,36.01550519657561,25.72005413642957,20.70074952514269
1997-07-31T00:00:00,,17.28323109296178,36.45503528829723,26.412888844350483,19.848844774390507
1997-08-31T00:00:00,,16.92098312875106,35.899619938635865,27.03078215852962,20.14861477408346
1997-09-30T00:00:00,,16.737135440332015,35.377882442432195,27.214254843813386,20.670727273422397
1997-10-31T00:00:00,,16.838452004538183,35.67196285474672,27.507683453013236,19.981901687701857
1997-11-30T00:00:00,,16.61895608150902,35.36118234061307,27.789828246402042,20.23003333147586
1997-12-31T00:00:00,,16.812842869550018,34.98842843961941,28.312557403250295,19.88617128758027
1998-01-31T00:00:00,,17.629118615892146,35.279333098906726,27.98832395157465,19.10322433362647
1998-02-28T00:00:00,,17.21892032203311,35.21241596099694,28.285828915205187,19.28283480176476
1998-03-31T00:00:00,,17.64709647303409,35.38360022074467,28.439738585359304,18.52956472086193
1998-04-30T00:00:00,,17.18394419551423,35.994110807942405,28.08907141380924,18.73287358273413
1998-05-31T00:00:00,,17.12448526337537,36.23253794356708,28.337419352801092,18.30555744025646
1998-06-30T00:00:00,,16.77747244690784,36.05466106136603,28.605696505842648,18.562169985883475
1998-07-31T00:00:00,,16.50444601015106,35.86346599788464,28.76680863881349,18.865279353150807
1998-08-31T00:00:00,,16.134232543648107,35.774197854540716,28.987076435949955,19.104493165861218
1998-09-30T00:00:00,,15.752036265425598,34.60380002702659,28.876139055717648,20.768024651830164
1998-10-31T00:00:00,,15.745997488720823,34.53596976052631,28.940571814067447,20.777460936685422
1998-11-30T00:00:00,,15.704211286126082,34.44766401824521,29.038893276963297,20.8092314186654
1998-12-31T00:00:00,,15.893395512490772,33.62793963464845,29.456039942845972,21.02262491001481
1999-01-31T00:00:00,,15.999445766316192,34.47047884455204,28.790836368367895,20.73923902076388
1999-02-28T00:00:00,,15.924708455026268,34.838739710695634,28.7348592668637,20.50169256741439
1999-03-31T00:00:00,,16.44189677202553,34.74537409283448,29.105433596668366,19.70729553847163
1999-04-30T00:00:00,,15.764797572993292,35.387246022881016,28.885963639718206,19.96199276440748
1999-05-31T00:00:00,,15.850754627133826,35.364293746285455,28.853145127177783,19.931806499402928
1999-06-30T00:00:00,,15.620018531980964,35.71552459583343,28.781523200399427,19.882933671786166
1999-07-31T00:00:00,,15.201722003523614,36.31738228284232,28.529917633314767,19.950978080319302
1999-08-31T00:00:00,,14.835577229475073,36.092759786543176,29.06520462269534,20.006458361286413
1999-09-30T00:00:00,,14.740447667605519,35.863571247904034,29.174139783273034,20.221841301217417
1999-10-31T00:00:00,,15.023832251512253,35.336981160008015,28.532326829163672,21.106859759316045
1999-11-30T00:00:00,,15.033546414561826,35.808118074237434,28.34729922282959,20.81103628837114
1999-12-31T00:00:00,,18.02619803927839,33.26444748751458,27.939943422781838,20.769411050425187
2000-01-31T00:00:00,,15.860634189070161,36.49231666911986,28.42081986649536,19.22622927531462
2000-02-29T00:00:00,,16.004989609049954,35.89803281257098,28.317282724900185,19.779694853478883
2000-03-31T00:00:00,,15.6919362337591,36.92727997807291,27.801187366390025,19.57959642177797
2000-04-30T00:00:00,,15.492300938356388,37.48108748580974,28.057197732692973,18.969413843140913
2000-05-31T00:00:00,,15.980118731284323,36.56003114629578,27.937312970950124,19.52253715146977
2000-06-30T00:00:00,,15.552883615666424,36.83394390387109,28.252519057308568,19.360653423153924
2000-07-31T00:00:00,,15.26391578304456,36.76960706067838,28.56707111435814,19.399406041918926
2000-08-31T00:00:00,,15.040432295459969,36.63203679819301,28.5995375452843,19.727993361062722
2000-09-30T00:00:00,,14.954460481210265,36.51320438258817,28.430594458124332,20.101740678077217
2000-10-31T00:00:00,,15.166381180371369,36.380800132294326,28.225589277413448,20.22722940992084
2000-11-30T00:00:00,,15.269753604595618,35.824878454902915,28.503475705717307,20.40189223478415
2000-12-31T00:00:00,,15.994096215933054,35.88864196072477,28.47493738418675,19.642324439155416
2001-01-31T00:00:00,,15.342622652559834,36.64753832882142,28.380049613840434,19.62978940477831
2001-02-28T00:00:00,,15.96162953852121,36.60165569040002,28.187392621257512,19.249322149821257
2001-03-31T00:00:00,,15.391512562332672,37.628660576415946,28.459093280726794,18.520733580524585
2001-04-30T00:00:00,,15.344915605959006,38.395762303926865,27.101624795742595,19.157697294371538
2001-05-31T00:00:00,,15.22186508591467,38.365438558345595,26.8993346283732,19.513361727366547
2001-06-30T00:00:00,,14.911346603660688,38.888344435249614,26.434946101586434,19.765362859503266
