,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 4: Net Earned Premium by Line of Business*,,,,,,,,,,,,,جدول 4: صافي الأقساط المكتسبة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q1,2016,39.69,2531,55147.14,55151.47,61795.25,103354.99,2555537.44,25742.78,2859299.76,176987.1,4584648.73,7620935.59
Q2,2016,2429.07,2947,45313.9,54924.25,67473.29,103256.02,3012895.28,26416.87,3315655.6799999997,177920.8,4572037.64,8065614.119999999
Q3,2016,1284.19,1533,30500.48,34026.12,44216.16,95563.83,2183711.33,8275.28,2399110.39,159800.78,4496463.28,7055374.45
Q4,2016,3123.2,3666,51913.06,50579.5,78259.87,108539.49,2587858.21,27184.38,2911123.71,185067.43,4529772.62,7625963.76
Q1,2017,1904.46,2769,38911.69,47306.83,70249.95,99029.13,2574312.14,30652.13,2865135.33,182737.32,4406905.11,7454777.76
Q2,2017,896.7,4379,48271.29,47426.26,80166.07,104681.71,2643340.34,31436.05,2960597.42,182327.94,4567542.81,7710468.17
Q3,2017,1481.34,2899,35641.57,37818.19,82124.12,123791.23,2605217.99,22140.02,2911113.4600000004,186096.16,4673153.53,7770363.15
Q4,2017,1570.51,4555,45760.1,46861.74,79904.53,88987.72,2567460.98,36727.25,2871827.83,285956.67,4728198.17,7885982.67
Q1,2018,2795.05,2217,25194.24,41596.85,78715.69,89521.3,2413076.49,50786.79,2703903.41,187160.93,4615010.06,7506074.4
Q2,2018,-337,1940,41859,38651,86408,94834,2355193,29541,2648089,174905,4624179,7447173
Q3,2018,1911.43,2020,39509.37,39418.71,78402.82,91977.04,2303179.68,35908.25,2592327.3000000003,175276.7,4756258.52,7523862.52
Q4,2018,1343.1,1369,44184.84,41583.08,86684.5,87628.56,2234733.96,32585.92,2530112.96,176070.66,4850057.83,7556241.45
Q1,2019,1956.73,-947,35518.41,42846.84,79143.3,87312.33,2123101.22,50478.7,2419410.5300000003,170920.47,4982143.42,7572474.42
Q2,2019,1139.62322409,4728,32267.97023,46076.90334434,80638.47733168,81835.97421892,2071958.40572015,25661.33104837,2344306.6851175497,173637.49165,5204204.73229139,7722148.90905894
Q3,2019,1208.53838118,1924,32070.38784202,43125.15669252,76918.01636073,87296.69659099,2007820.66963746,41224.7549486,2291588.2204535003,179615.53298,5344467.73311444,7815671.48654794
Q4,2019,1106.66501503,2098,39771.2188195186,44445.0544121974,80031.0563006965,76451.394060342,2008208.88142825,46523.4543483183,2298635.724384353,193752.59021,5368499.10853068,7860887.423125032
Q1,2020,1108.68,2214,52672.77,38765.92,49682.09,154252.86,1967619.22,44217.18,2310532.72,203078.67,5624312.68,8137924.07
Q2,2020,4570.74935816,1438,48989.97128943,42696.59386062,71757.6747248,71373.10913545,1873849.15826555,50574.466198,2165249.72283201,207912.01533,5348976.25000671,7722137.98816872
Q3,2020,1057.54,4799,38413.55,47825.45,94485.27,71412.36,1979096.27,67811.76,2304901.1999999997,236408.12,5388825.61,7930134.93
Q4,2020,1148.8025079,6042,41028.74696384,42450.7652817,106901.95702242,66313.92031628,1941352.55496831,60254.40518394,2265493.15224439,207186.266,5427277.36273338,7899956.78097777
