,,,,,,,
القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,
Table 12a: Bank Claims on Private Sector,,,,,,جدول 12a: مطلوبات المصــــارف من القطــــاع الخـــاص ,
(Million ﷼),,,,,,(مليون ﷼),
نهاية الفترة,,ائتمان مصرفي,,,,,
,,Bank Credit ,,,استثمارات في,الإجمالي,
,,قروض وسلف,كمبيالات,المجموع,أوراق مالية خاصة,,
End of Period,,وسحوبات على المكشوف,مخصومة,,Investments in,Grand,
,,"Loans, Advances",Bills,Total,Private Securities,Total,
,,& Overdrafts,Discounted,,,,
Q2,2021,1849423.64651743,15119.843,1864543.48951743,69419.174,1933962.66351743,
Q3,2021,1903553.9888959702,13988.623,1917542.61189597,68168.085,1985710.69689597,
Q4,2021,1948981.4303,15165.863,1964147.2933,69937.874,2034085.1673,
Q1,2022,2044965.19630738,14671.124,2059636.32030738,74459.882,2134096.2023073803,
Q2,2022,2124875.9490868603,14987.816,2139863.7650868604,66368.054,2206231.8190868604,
Q3,2022,2180387.5098803397,14941.537,2195329.0468803397,69115.529,2264444.57588034,
Q4,2022,2205599.88148991,15609.511173,2221209.39266291,68371.220163,2289580.6128259096,
Q1,2023,2265806.63545631,15231.251,2281037.8864563103,73569.665282,2354607.55173831,
Q2,2023,2324118.0803631702,15860.521192,2339978.60155517,76991.14153200001,2416969.74308717,
Q3,2023,2381724.20580899,17073.8492,2398798.05500899,76997.46892,2475795.52392899,
Q4,2023,2418230.1530493004,18765.285,2436995.4380493,81791.02872599999,2518786.4667753,
Q1,2024,2491862.217363759,18748.026,2510610.243363759,88605.53913203956,2599215.7824957985,
Q2,2024,2573672.40072612,19133.716,2592806.11672612,97054.39496686561,2689860.5116929854,
Q3,2024,2660969.24505795,18774.248,2679743.49305795,95322.763,2775066.2560579497,
Q4,2024,2729221.33687369,23231.83,2752453.16687369,102893.456,2855346.62287369,
Q1,2025,2864022.12732518,20612.229,2884634.3563251803,103171.116,2987805.47232518,
Q2,2025,2937289.8050986403,22145.0428131,2959434.84791174,98030.305,3057465.1529117404,
Q3,2025,3007014.8201041496,20512.475080850003,3027527.2951850006,107490.722,3135018.0171850007,
Q4,2025,3017480.5853122566,22099.328808529997,3039579.914120787,107840.03,3147419.9441207866,
,,,,,,,
1993-01-31T00:00:00,,83101.421,3517.692,86619.113,2641.315,89260.428,
1993-02-28T00:00:00,,91407.96,4122.677,95530.637,2757.393,98288.03,
1993-03-31T00:00:00,,86537.19200000001,3805.045,90342.23700000001,3147.0179999999996,93489.255,
1993-04-30T00:00:00,,89273.32199999999,3885.558,93158.87999999999,3252.6899999999996,96411.56999999999,
1993-05-31T00:00:00,,90623.856,4012.7,94636.556,3085.3099999999995,97721.866,
1993-06-30T00:00:00,,91962.044,4287.921,96249.965,3074.7570000000005,99324.722,
1993-07-31T00:00:00,,92113.67199999999,4739.294,96852.96599999999,3059.7869999999994,99912.75299999998,
1993-08-31T00:00:00,,92500.977,4763.424999999999,97264.402,3151.736,100416.138,
1993-09-30T00:00:00,,94208.79,4707.182999999999,98915.973,3415.853,102331.826,
1993-10-31T00:00:00,,90910.32500000001,4795.212,95705.53700000001,3657.0859999999993,99362.623,
1993-11-30T00:00:00,,93260.835,4873.16,98133.99500000001,4316.9439999999995,102450.93900000001,
1993-12-31T00:00:00,,92539.565,4902.757,97442.322,4489.71,101932.032,
1994-01-31T00:00:00,,93029.30099999999,4751.263,97780.564,4086.77,101867.334,
1994-02-28T00:00:00,,96216.305,4804.41,101020.715,4512.967,105533.682,
1994-03-31T00:00:00,,98599.88199999998,5103.968,103703.84999999998,4398.463,108102.31299999998,
1994-04-30T00:00:00,,99406.65400000001,5146.931,104553.585,4595.8279999999995,109149.413,
1994-05-31T00:00:00,,101988.505,5096.426,107084.93100000001,4684.206,111769.13700000002,
1994-06-30T00:00:00,,98625.80500000001,4904.247,103530.05200000001,5037.688000000001,108567.74,
1994-07-31T00:00:00,,97012.573,4842.482,101855.05500000001,5278.134,107133.18900000001,
1994-08-31T00:00:00,,99328.10699999999,5027.48,104355.58699999998,5621.058,109976.64499999999,
1994-09-30T00:00:00,,99551.226,4830.615,104381.841,5875.563000000001,110257.404,
1994-10-31T00:00:00,,100201.231,4845.736,105046.967,6087.101,111134.068,
1994-11-30T00:00:00,,100915.7,4785.686,105701.386,6126.375999999999,111827.762,
1994-12-31T00:00:00,,102473.11300000001,4652.379,107125.49200000001,6066.076,113191.56800000001,
1995-01-31T00:00:00,,103824.355,4627.102,108451.457,6146.687,114598.144,
1995-02-28T00:00:00,,106729.38,4326.152,111055.532,6222.841,117278.373,
1995-03-31T00:00:00,,106932.22,4338.934,111271.154,6335.637,117606.791,
1995-04-30T00:00:00,,107748.84300000001,4477.682,112226.52500000001,6486.601,118713.126,
1995-05-31T00:00:00,,108707.18400000001,4356.501,113063.68500000001,6676.998,119740.68300000002,
1995-06-30T00:00:00,,110202.239,4326.0470000000005,114528.28600000001,6908.262,121436.54800000001,
1995-07-31T00:00:00,,110971.966,4149.695,115121.661,7166.292,122287.953,
1995-08-31T00:00:00,,105049.013,4159.668,109208.68100000001,7324.673999999999,116533.35500000001,
1995-09-30T00:00:00,,108100.36,4040.799,112141.159,7387.013000000001,119528.172,
1995-10-31T00:00:00,,107467.35500000001,3956.456,111423.81100000002,7361.471,118785.28200000002,
1995-11-30T00:00:00,,109974.262,3903.593,113877.855,7611.357,121489.212,
1995-12-31T00:00:00,,109559.417,3847.4829999999997,113406.9,7745.947,121152.847,
1996-01-31T00:00:00,,108378.267,3892.0499999999997,112270.31700000001,8036.889,120307.206,
1996-02-29T00:00:00,,111835.732,3903.928,115739.66,6439.193,122178.853,
1996-03-31T00:00:00,,110385.76199999999,4113.952,114499.71399999999,6827.993,121327.707,
1996-04-30T00:00:00,,109680.663,3936.252,113616.915,6494.332,120111.24699999999,
1996-05-31T00:00:00,,110561.604,3708.683,114270.28700000001,6397.419,120667.706,
1996-06-30T00:00:00,,108419.323,3696.949,112116.272,6408.448,118524.72,
1996-07-31T00:00:00,,110915.081,3789.7819999999997,114704.86300000001,6404.378000000001,121109.24100000001,
1996-08-31T00:00:00,,111370.438,3776.826,115147.264,6427.694,121574.958,
1996-09-30T00:00:00,,114481.07699999999,3824.086,118305.16299999999,6605.238,124910.40099999998,
1996-10-31T00:00:00,,113223.231,3715.387,116938.618,6522.522,123461.14,
1996-11-30T00:00:00,,111811.076,3592.801,115403.87700000001,6613.828,122017.705,
1996-12-31T00:00:00,,113066.802,3853.155,116919.957,6626.710999999999,123546.66799999999,
1997-01-31T00:00:00,,111179.898,3628.327,114808.225,7044.714,121852.939,
1997-02-28T00:00:00,,111642.653,3695.49,115338.143,8194.922,123533.065,
1997-03-31T00:00:00,,112593.644,3674.97,116268.614,6896.385,123164.999,
1997-04-30T00:00:00,,112978.026,3718.857,116696.883,6705.528,123402.411,
1997-05-31T00:00:00,,113405.23,3729.492,117134.722,6763.917,123898.639,
1997-06-30T00:00:00,,117394.323,3900.201,121294.524,6733.987,128028.511,
1997-07-31T00:00:00,,119259.208,3718.621,122977.829,6635.262,129613.091,
1997-08-31T00:00:00,,123174.858,3649.131,126823.989,6607.943,133431.932,
1997-09-30T00:00:00,,120066.606,3906.013,123972.619,6647.545,130620.164,
1997-10-31T00:00:00,,123649.967,3704.495,127354.462,6609.132,133963.594,
1997-11-30T00:00:00,,128211.991,3647.686,131859.677,5908.104,137767.781,
1997-12-31T00:00:00,,124773.733,3579.158,128352.891,5331.079,133683.97,
1998-01-31T00:00:00,,126070.437,3596.538,129666.975,5361.276,135028.251,
1998-02-28T00:00:00,,128033.141,3569.635,131602.776,5311.391,136914.167,
1998-03-31T00:00:00,,127182.028,3825.907,131007.935,5306.116,136314.051,
1998-04-30T00:00:00,,130179.614,3773.293,133952.907,5251.581,139204.488,
1998-05-31T00:00:00,,131515.192,3764.88,135280.072,5257.464,140537.536,
1998-06-30T00:00:00,,133946.248,3493.638,137439.886,5555.075,142994.961,
1998-07-31T00:00:00,,138099.06,3293.813,141392.873,5450.52,146843.393,
1998-08-31T00:00:00,,138664.741,3297.593,141962.334,5492.102,147454.436,
1998-09-30T00:00:00,,143456.119,3133.802,146589.921,5173.387,151763.308,
1998-10-31T00:00:00,,145036.367,3245.56,148281.927,5151.493,153433.42,
1998-11-30T00:00:00,,145366.002,3136.369,148502.371,5420.938,153923.309,
1998-12-31T00:00:00,,152204.149,3024.671,155228.82,5426.02,160654.84,
1999-01-31T00:00:00,,149700.828,2855.643,152556.471,5522.144,158078.615,
1999-02-28T00:00:00,,150279.955,2885.378,153165.333,5570.577,158735.91,
1999-03-31T00:00:00,,152475.999,2866.615,155342.614,8634.792,163977.406,
1999-04-30T00:00:00,,145324.779,2783.2,148107.979,9034.767,157142.746,
1999-05-31T00:00:00,,146681.181,2680.826,149362.007,9119.449,158481.456,
1999-06-30T00:00:00,,137704.698,2526.399,140231.097,9629.796,149860.893,
1999-07-31T00:00:00,,137075.595,2453.194,139528.789,9625.385,149154.174,
