,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,مؤسسات الإقراض المتخصصة الحكومية       Government Specialized Credit Institutions
,,,,,,,,,,,
Table 1b: Consolidated Balance Sheet Of Government Specialized Credit Institutions-Liabilities,,,,,,,,,,,جدول 1b: المركز المالي الموحد لمؤسسات الإقراض المتخصصة الحكومية - المطلوبات 
(Million ﷼),,,,,,,,,,,(مليون ﷼)
نهاية ,,رأس المال ,الإحتياطي ,Due to   مستحقات الى,,Borrowing from     الإقتراض من ,,,الإحتياطيات ,الخصوم ,مجموع 
الفتره,,المدفوع,,,,,,,التخصصية ,الأخرى ,المطلوبات 
End of,,Paid up, Reserves,المصارف المحلية,جهات أخرى,البنك المركزي,الحكومة ,جهات أخرى ,Earmarked,Other,Total
Period,,Capital,,  Local Banks,  Others,  SAMA,  Government,  Others,Reserves,Liabilities,Liabilities
Q1,2017,276215.8,0,0,54.2,0,724.6,0,290,16154.72900000001,293439.329
Q2,2017,275715.8,0,0,46.8,0,873.2,0,290,17749.928,294675.728
Q3,2017,275715.8,0,0,47.8,0,807.502904,0,290,20918.64662629002,297779.74953029
Q4,2017,275715.8,0,0,60.6,0,1003.299691,0,342,17760.52218315001,294882.22187415
Q1,2018,277715.725,0,0,46.326,0,995.648212,0,342,15955.792424709987,295055.49163671
Q2,2018,277715.745,0,0,207.864,0,1168.247761,0,342,19745.66104600002,299179.51780699997
Q3,2018,281715.745,0,0,54.128,0,1021.437836,0,342,19287.263316999986,302420.57415299997
Q4,2018,281715.742239,0,0,104.567526,0,1238.354577,0,342,21857.14231899998,305257.80666099995
Q1,2019,281715.742239,0,0,104.567526,0,1228.908873,0,2153.217,21140.47733058002,306342.91296857997
Q2,2019,281715.742239,0,0,1038.599,0,1534.113595,0,2153.217,22182.63269400003,308624.304528
Q3,2019,281715.742239,0,0,142.101,0,1628.878413,0,2153.217,24749.751894,310389.690546
Q4,2019,281715.742239,0,0,336.454,0,1722.956159,0,2153.217,27161.442461,313089.811859
Q1,2020,281715.742239,0,0,290.541,0,1981.632145,0,2116.148,24127.081499630003,310231.14488363
Q2,2020,281715.742239,0,0,181.309,0,2218.947334,0,2116.148,27954.256241150004,314186.40281415
Q3,2020,283441.742239,0,0,310.708,0,2422.63828,0,2116.148,28572.79592215,316864.03244115
Q4,2020,283441.753212,0,0,680.261,0,2625.545792,0,4433.174,31796.71360799999,322977.447612
,,,,,,,,,,,
Note: The data of specialized credit institutions has been modified due to the restructuring of some institutions,,,,,,,,,,,ملاحظة: تم تعديل بيانات مؤسسات الإقراض المتخصصة نظراً لإعادة هيكلة بعض المؤسسات.
"Source: Real Estate Dev. Fund, Saudi Industrial Dev. Fund, Social Development Bank, ",,,,,,,,,,,المصادر: صندوق التنمية العقارية وصندوق التنمية الصناعية السعودي وبنك التنمية الاجتماعية 
,Agricultural Dev. Fund,,,,,,,,,,             وصندوق التنمية الزراعية
