,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 3b: Exchange Rates of Saudi Riyal Against Foreign Currencies,,,,,,,,,,,,,جدول 3b: سعــــر صرف الريال السعودي مقابل بعض العــمـــلات الأجــنبـيــــة ,
,,,,,,,,,,,,,,
نهاية,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
End of,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Period,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
2009-12-31T00:00:00,,0.29732106558618,0.464107654074025,1.82085551036516,24.4601391773533,12.4480041096613,0.164659804757069,311.361274267159,0.2667,0.185108261337715,8.89574966447405,-,0.274801278485685,
2010-01-31T00:00:00,,0.299322949373908,0.494720515011444,1.82053868934254,23.9599740572593,12.3653362433127,0.16524187487775,308.399477027291,0.2667,0.190939943927992,8.81999993136841,-,0.279946535992121,
2010-02-28T00:00:00,,0.299659485766087,0.489493126206024,1.82050706519186,23.7999787722348,12.3279550528171,0.175174302572214,308.905743502477,0.2667,0.196511686580746,8.81521230375192,-,0.287279522688479,
2010-03-31T00:00:00,,0.291152913900306,0.478506691959111,1.82035339164647,24.8666877437032,12.0373590473179,0.176017845224295,301.680893666351,0.2667,0.197837847331998,8.62240488987248,-,0.282720342853128,
2010-04-30T00:00:00,,0.286738819310744,0.461279865318202,1.82033956330768,25.0827202476225,11.850692379502,0.173973342462708,297.466422197085,0.2667,0.200275645923811,8.61921156795237,-,0.287333522744318,
2010-05-31T00:00:00,,0.312841623950484,0.488532649392086,1.82077652412665,24.3465961502983,12.4106577628899,0.182898816005093,329.118388638279,0.2667,0.215331160445237,8.66195552693742,-,0.30645318824904,
2010-06-30T00:00:00,,0.312878999612323,0.48181432963387,1.81090364867423,23.6266758026272,12.4266974404284,0.17748244182587,322.747640127302,0.2667,0.217315650441321,8.64401309086975,-,0.288320095206325,
2010-07-31T00:00:00,,0.2967578901525,0.470265732890328,1.80665701982987,23.0667106862132,12.3893130843419,0.171203138500011,316.586003189076,0.2667,0.204687379268198,8.60263695815567,-,0.277173874867415,
2010-08-31T00:00:00,,0.299020396189035,0.468880834015209,1.81612855908285,22.4667353549849,12.5546575804864,0.173115239086599,317.094378102683,0.2667,0.210304661556868,8.34614317449602,-,0.27232031613121,
2010-09-30T00:00:00,,0.275852082869236,0.454533303631098,1.78696643076238,22.2400054834896,11.9485580136059,0.16756704422777,304.532446835855,0.2667,0.195388728001782,8.10694518224035,-,0.259466730640711,
2010-10-31T00:00:00,,0.273195220394251,0.454491780917205,1.78420857078387,21.4878669066762,11.8773168923401,0.167482495533753,300.425332656963,0.2667,0.192441395878328,7.99331886715947,-,0.263785986586837,
2010-11-30T00:00:00,,0.277256465332674,0.460346367406719,1.78031938227825,22.4399519720641,12.2773421046652,0.171732728381749,308.61269524457,0.2667,0.205158633755529,8.05677363427111,-,0.266079658561224,
2010-12-31T00:00:00,,0.262208362048366,0.447545860360095,1.76610437149576,21.7199929352362,11.9733374429018,0.172767240274695,305.627222889835,0.2667,0.200802058478236,8.04001288280457,-,0.250560159580547,
2011-01-31T00:00:00,,0.268708801199193,0.447305656047954,1.75709844347281,21.8799884587871,12.2533193791647,0.167809747544505,297.146964370773,0.2667,0.194761382009025,8.30692455700352,-,0.251492589551105,
2011-02-28T00:00:00,,0.262389514048287,0.443118594188108,1.75338281114912,21.7866260718027,12.0479611591235,0.164263918602325,300.77268119357,0.2667,0.192761750416176,8.16292418637925,-,0.247546169311775,
2011-03-31T00:00:00,,0.258047046080671,0.436050833717367,1.74836771695657,22.1679342579293,11.9066680570366,0.16571415116236,295.252335316853,0.2667,0.187699935751456,8.07863214512771,-,0.243946004312389,
2011-04-30T00:00:00,,0.244649243737847,0.422534539316748,1.73306923656512,21.8653040677263,11.8347212671381,0.159984568764415,285.946717818964,0.2667,0.179453095953331,7.98296641649859,-,0.231040802292641,
2011-05-31T00:00:00,,0.249012555660876,0.425334881481691,1.7292061963694,21.5600204568815,12.0080061703818,0.1615875406264,288.160496562478,0.2667,0.185377994192778,8.08026827167672,-,0.22741455337197,
2011-06-30T00:00:00,,0.248315471667933,0.419252609269405,1.72576678530012,21.525306247584,11.9253608989483,0.166583356660135,287.492835339438,0.2667,0.184506671465323,8.19867103877581,-,0.222506031644473,
2011-07-31T00:00:00,,0.24344215134459,0.417360850531582,1.71845736918908,20.6799249530957,11.7760266833438,0.163870419011882,280.693766937669,0.2667,0.187003543881593,7.93067333750261,-,0.213626850114655,
2011-08-31T00:00:00,,0.249430416347009,0.424106602862251,1.70311725884035,20.4239856440065,12.2642337919276,0.163738689104258,285.786008871421,0.2667,0.184543446598322,8.00452684375264,-,0.215866819328894,
2011-09-30T00:00:00,,0.272637079284848,0.487759771861819,1.69463977732621,20.4345895732655,13.0949608100955,0.170994347774116,314.533563292977,0.2667,0.197486381721624,8.30773040077868,-,0.240373285975308,
2011-10-31T00:00:00,,0.253750542277464,0.447946407853187,1.6862054701924,21.1198996492432,13.0320120259486,0.16641730310704,294.53317056602,0.2667,0.190462978843612,8.18800297285754,-,0.232133428841426,
2011-11-30T00:00:00,,0.266108089063051,0.494112592057886,1.69285106602387,20.8132889908651,13.9119853566733,0.170851701942991,306.745039401205,0.2667,0.198736755265668,8.32292660290289,-,0.245786176493336,
2011-12-31T00:00:00,,0.262569803291502,0.49803812584133,1.68023275001086,20.7253463024882,14.2053063528594,0.172476269052065,307.546137478831,0.2667,0.206094923791741,8.45412306222589,-,0.250906248643015,
2012-01-31T00:00:00,,0.250698007069471,0.466908275681846,1.68307728279258,20.3627229840318,13.2479678710441,0.168894673140138,300.000343845847,0.2667,0.202387665561775,8.27734949867275,0.471546666666666,0.243626817225302,
2012-02-29T00:00:00,,0.246548039533238,0.453972432301815,1.67784729969889,21.5066091525581,13.0506298960256,0.167262372988249,300.399822453467,0.2667,0.198368834071111,8.06666221086564,0.464453333333332,0.239120561979335,
2012-03-31T00:00:00,,0.256361614443645,0.488906983229645,1.67847982289734,21.9066423827607,13.6426891786279,0.166573077227641,303.413977476562,0.2667,0.199660530275122,8.22506567327588,0.47392,0.240827259487766,
2012-04-30T00:00:00,,0.255109586967887,0.50432018931785,1.67309134311109,21.6241641671941,14.0052901681297,0.163990740485952,302.452808123057,0.2667,0.201805467653614,8.19145386753254,0.467493333333334,0.242453427258468,
2012-05-31T00:00:00,,0.274149462874416,0.535412855700029,1.6894541871782,21.0132286156215,15.0452725179572,0.171998135422037,314.078976177191,0.2667,0.215000317825789,8.50558313969503,0.491973333333334,0.258399429326139,
2012-06-30T00:00:00,,0.261669252707435,0.557439099179203,1.68663336150741,21.1467260372425,15.0160170520541,0.170907480657411,307.68027750004,0.2667,0.211808160876923,8.48320362127711,0.482906666666667,0.254773924977288,
2012-07-31T00:00:00,,0.253341442371611,0.541681399657723,1.68852983607485,20.8399926452909,14.882678245619,0.170002510501676,302.98749699447,0.2667,0.217084140701243,8.41760604217643,0.47752,0.26082698046759,
2012-08-31T00:00:00,,0.257684093230569,0.546295533826129,1.68970858000866,20.9199361549661,14.8586701520963,0.168360440607824,302.559583150097,0.2667,0.21145426162097,8.36532885273418,0.484133333333333,0.25439898240407,
2012-09-30T00:00:00,,0.254840728867309,0.541625599579473,1.69092477892939,20.6853621338977,14.0524482900529,0.164700460988861,298.29230082895,0.2667,0.206238047316201,8.21971151019674,0.477066666666666,0.249466560151611,
2012-10-31T00:00:00,,0.256954133013913,0.541946361002157,1.68005449063031,21.2373250431875,14.4312756831235,0.165466303395798,291.760282769675,0.2667,0.205238232066386,8.1837379741533,0.477226666666667,0.247625987945592,
2012-11-30T00:00:00,,0.255648046313719,0.559760786582643,1.67711748527069,21.9866806358407,14.5403811638546,0.166074887977302,289.253987035078,0.2667,0.205350332636612,8.18428537424008,0.47512,0.246667118406124,
2012-12-31T00:00:00,,0.256902971478938,0.5462118241473,1.67722166892804,23.079886040677,14.6258844513539,0.165466924382229,286.00007634303,0.2667,0.202279533474684,8.16717735526923,0.475173333333333,0.244426091271563,
2013-01-31T00:00:00,,0.256558379656783,0.530666901960377,1.67454035546651,24.28525210164,14.2103906394626,0.168958531213614,290.00295847239,0.2667,0.196802427677461,7.94481324426774,0.469093333333334,0.243093005029403,
2013-02-28T00:00:00,,0.259529769637821,0.528187064088075,1.6741042351011,24.6613925944703,14.3395967341593,0.175531544092018,289.440237157212,0.2667,0.203111632180994,7.94585802253979,0.48176,0.248212343018896,
2013-03-31T00:00:00,,0.255569647046686,0.537012694793125,1.67170699343115,25.079909427089,14.4924484035013,0.176204333341041,296.560470580702,0.2667,0.208088239217786,7.81385239034577,0.484106666666667,0.253892305037896,
2013-04-30T00:00:00,,0.25720258785982,0.533308710611745,1.65367317401608,26.1093920367291,14.4584208824241,0.172209665419626,295.493865231244,0.2667,0.203998070238375,7.82267399222087,0.479173333333333,0.249681465629214,
2013-05-31T00:00:00,,0.276367434230426,0.557174070080671,1.64788679768984,26.9412388486188,15.0655293770172,0.175277294417815,300.880011671809,0.2667,0.205034179183614,8.04853052640569,0.49808,0.254239037218124,
2013-06-30T00:00:00,,0.287511702459644,0.58256085279015,1.64764780561151,26.3652869584953,15.9199551760334,0.175081207977531,306.586711679764,0.2667,0.203874578002213,8.30321427558229,0.514373333333334,0.251946863740815,
2013-07-31T00:00:00,,0.295082400541348,0.60623960301125,1.64767248428116,26.1493078072575,16.2973679758649,0.175484781627992,296.959145120817,0.2667,0.200878633659458,8.36185750133927,0.513573333333334,0.247626314602306,
2013-08-31T00:00:00,,0.298051658932082,0.628748721901634,1.64557474389637,26.2213868753157,17.753116272194,0.172032655963198,296.240762934531,0.2667,0.201486377803237,8.55709074014434,0.548693333333333,0.248054034743157,
2013-09-30T00:00:00,,0.286461746520396,0.601893683260876,1.6394701024369,26.0667395585809,16.7404798698375,0.165088365511811,286.826785518729,0.2667,0.197458285603036,8.3693534116371,0.542933333333332,0.24138638335005,
2013-10-31T00:00:00,,0.280998814073,0.583680673551054,1.63800445242768,26.2613477956322,16.376022081822,0.166282569647204,283.041243905653,0.2667,0.195488969491855,8.29174497714837,0.530826666666665,0.241173166147679,
2013-11-30T00:00:00,,0.292302267492557,0.614401200621155,1.63546418112148,27.032040882262,16.6300620807293,0.163409368041105,282.746976734491,0.2667,0.196136195462236,8.55466890856728,0.538479999999999,0.241279342437581,
2013-12-31T00:00:00,,0.300808137128767,0.627680298389094,1.627304541464,28.0799513767076,16.5340839236642,0.161930109211932,281.492153260341,0.2667,0.193474989653698,8.78239171880222,0.569653333333333,0.237732921674595,
2014-01-31T00:00:00,,0.304310266910471,0.645975137487746,1.63018403543047,27.4188109656472,16.6604382921623,0.162009406873344,288.776411204817,0.2667,0.19729752278716,8.8042911472492,0.608426666666666,0.240613984467882,
2014-02-28T00:00:00,,0.29805178579122,0.624962302356641,1.63238119856964,27.1467838524837,16.5525655938994,0.159796131144716,284.720175778726,0.2667,0.193055017017793,8.70214984274697,0.59632,0.235147128516652,
2014-03-31T00:00:00,,0.289194957290173,0.602747714407471,1.64056631280743,27.4267652848731,16.007170351047,0.160227843252952,285.01455291412,0.2667,0.193406244554519,8.64933084199866,0.584479999999999,0.235733054524688,
2014-04-30T00:00:00,,0.287139821211939,0.591972605332668,1.64212962564636,27.3545733779587,16.0899446772265,0.158532010634362,275.120238842954,0.2667,0.192538738847256,8.61785987765321,0.565306666666668,0.235225894155403,
2014-05-31T00:00:00,,0.286152988607821,0.593359264779453,1.64519272880866,27.1039006226663,15.7423092835616,0.159394436683475,272.425594233456,0.2667,0.195978029244716,8.74666985183762,0.558266666666666,0.239145750999261,
2014-06-30T00:00:00,,0.283084645771161,0.585999896499974,1.64074796018699,27.0133342533336,16.0249090062273,0.156540684135171,270.505942626486,0.2667,0.195245898811475,8.65277466319367,0.566746666666667,0.237413534353384,
2014-07-31T00:00:00,,0.286000128865755,0.598584914696095,1.64465790495628,27.4080046530986,16.0655891864217,0.157949885152749,273.146640522011,0.2667,0.199317011498657,8.53411720862843,0.558346666666666,0.242452210831341,
