,,From          مـن,,,,,,,,,,A. Sales Attributable to Specific Purposes        أ - مبيعات منسوبة لأغراض محددة,,,,,,,,,,,,,B: Sales to Third Parties    ب: مبيعات لجهات أخرى - طرف ثالث,,,,,,,,المجموع الكلي
الفترة,,,,,,,مجموع المشتريات,,,الفترة,,تمويل الواردات,مقاولون أجانب,,تحويلات شخصية,,السفر الى الخارج,,إستثمارات  ,(الإجمالي(أ,,,الفترة,, للصيارفة,لجهات حكومية,للبنك,للوزارات أو البلديات,لعملاء آخرين,مصارف داخل المملكة,مصارف خارج المملكة,(الإجمالي(ب,( أ + ب  )
,,البنك المركزي,المصارف المحلية,المصارف الخارجية,عملاء,مصادر أخرى,,,,,,,Foreign Contractors,,Personal Transfers,,Foreign Travel,,بالخارج,,,,,,,,المركزي,,في المملكة,,,,
Period,,,,,,,Total Purchases,,,Period,,Import,إستيراد السلع,أغراض أخرى,سعودي,غير سعودي,سعودي,غير سعودي,Investments,Sub-Total (A),,,Period,,Money,Govt.,SAMA,Ministries or,Other Customers,Domestic Banks,Overseas Banks,Sub-Total (B),Total
,,SAMA  ,Local Banks ,Banks Abroad,Customers,Other Sources,,,,,,Financing,Import of Goods,Other Purposes,Saudis,Non-Saudis,Saudis,Non-Saudis,Abroad,,,,,,Changers,Agencies,,Municipalities,in the Kingdom,,, , ( A  +  B )
Q2,2023,146364.6665499875,38351.7056814,317417.26529628073,117072.74011678,10716.074,629922.4516444482,,,Q2,2023,22997.906353416,11886.53461271,17160.30262043,14911.08644064,32035.77897838,149.8634434,161.985,17.386,99320.843448976,,,Q2,2023,0,733.7080000000001,21115.192000000003,228.252,164149.07476018,33821.2028851,315358.15121680324,535405.5808620832,634726.4243110592
Q3,2023,214174.17069661999,59680.681874845,478380.34703482006,145039.7254570075,3053.78,900328.7050632925,,,Q3,2023,24406.837656589996,14858.685000000001,16821.45359989,15368.032003199998,31309.995086260016,163.83347816,154.357,188.68200000000002,103271.87582410002,,,Q3,2023,0,917.996,1983.6370000000002,203.306,173708.27465347998,48546.073,462182.70054986747,687541.9872033475,790813.8630274475
Q4,2023,230001.74478156,59555.47103064,363140.16171239887,152151.20350953698,6345.96182543,811194.5428595658,,,Q4,2023,25950.264259151,16542.09245338,16810.609280489996,16316.959401780005,31676.285814029885,165.74796639,145.78986912,25.257648439999997,107633.00669278088,,,Q4,2023,0,784.6919,2832.389,446.6,184721.963244488,46112.338,342812.7604781869,577710.7426226749,685343.7493154558
Q1,2024,177278.27,35652.6844258125,308542.6030552749,108931.068359378,7786.6521332,638191.2779736654,,,Q1,2024,25924.522433002003,12621.627438889998,18826.31191769,15269.094279590001,31695.167700099984,149.30138405,142.25319541000002,11.031885509999999,104639.31023424197,,,Q1,2024,0,580.366,2920.996,263.274,147523.7562792745,27753.074,326586.9559288934,505628.42220816796,610267.73244241
Q2,2024,189939.56399999998,58462.21673292751,465495.52601012,128894.8510102985,3870.76569135,846662.923444696,,,Q2,2024,27235.992641830002,12436.86167034,21282.973523009998,16237.273414989999,36008.71406789016,153.96184738,168.19222253,24.378435770000003,113548.34782374019,,,Q2,2024,0,87.6626,3513.65979263,355.93199999999996,155849.4813030255,52037.07195867,440319.0450813225,652162.8527356479,765711.2005593881
Q3,2024,247019.72508374997,59987.871765415,507033.077546652,118440.9318206395,8130.41606297,940612.0222794265,,,Q3,2024,25653.486721810004,16082.54210645,22979.04672408,16937.336156669997,37006.575637150076,136.23356618,159.64834582999998,22.87267567,118977.74193384007,,,Q3,2024,10.593,93.8135392,3162.5691837500003,224.014,157531.462435544,52548.357606624995,486838.36608446494,700409.1758495839,819386.917783424
Q4,2024,273367.4445,87949.40598794751,499317.376041087,171947.9977528705,7728.70715045838,1040310.9314323633,,,Q4,2024,27556.93677829,18542.21754534,23558.29893009,20158.33099302,39484.615422260176,153.37026982999998,116.94200000000001,146.518,129717.22993883016,,,Q4,2024,0,376.85958,4065.23,454.234,278164.4251020689,70684.197809775,474055.1420484221,827800.088540266,957517.3184790962
Q1,2025,205562.57640000002,35686.6213518875,305608.94379277,150631.54791301,24050.96969514,721540.6591528074,,,Q1,2025,24793.302989890002,18017.61748243,27462.782987210005,18823.716319760002,42019.474125480294,75.40359999,144.75099999999998,43.656000000000006,131380.70450476027,,,Q1,2025,0,977.7174,2765.051,136.564,184755.24510857958,29218.09471108,333897.19496307254,551749.8671827321,683130.5716874924
Q2,2025,213893.9995,56488.0561631795,316713.6324951725,147070.79113973002,21548.49172875,755714.971026832,,,Q2,2025,25188.700316168,19743.86178041,24709.34285293,17202.680281514997,41639.63060339405,49.7390739,167.94234572,11.777000000000001,128713.67425403703,,,Q2,2025,0,590.36375,3356.6310000000003,522.817,172130.3090299706,48019.820488762496,345808.3061972925,570428.2474660256,699141.9217200626
Q3,2025,218031.86249899998,80035.14036266126,495269.02793715254,125132.75424292247,31651.252334,950120.0373757363,,,Q3,2025,25569.948030159998,18073.48390993,28442.00658558,16838.85047772994,41550.4148488847,64.695,171.577,28.047,130739.02285228463,,,Q3,2025,0,576.7115,10267.558,130.477,229039.9493525402,65392.3596071133,450813.677580115,756220.7330397684,886959.755892053
Q4,2025,162924.88150199997,48233.83746555,431831.14866359945,135991.6459920516,31378.035324,810359.5489472011,,,Q4,2025,24873.849781199002,15842.04375071,32940.298825549995,17533.009014879808,40302.18718717817,45.9973975,128.50677,15.19,131681.08272701697,,,Q4,2025,0,907.5699550000002,25970.410000000003,173.082,239413.15168040583,54553.03759200001,372938.1465858935,693955.3978132992,825636.4805403162
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-31T00:00:00,,12505.304,9772.5775,57881.59650000001,---,13653.146499999999,93812.6245,,,1993-01-31T00:00:00,,3236.8035,3454.388,---,5293.183000000001,---,1821.9425,---,1899.464,16351.044500000004,,,1993-01-31T00:00:00,,735.1435,132.1985,---,1.4980000000000002,19096.504,---,52824.723,72790.067,89141.1115
1993-02-28T00:00:00,,12433.4,12777.94,61606.74800000001,---,18764.322500000002,105582.4105,,,1993-02-28T00:00:00,,2836.463,3207.218,---,6074.39,---,1696.8595,---,1803.9665,15927.1105,,,1993-02-28T00:00:00,,682.3389999999999,320.572,---,2.247,19525.681,---,63314.46800000001,83845.307,99772.4175
1993-03-31T00:00:00,,9796.171,11187.4385,46277.3395,---,17780.1365,85041.08549999999,,,1993-03-31T00:00:00,,3491.4635,3101.2345,---,5850.8135,---,2120.7934999999998,---,2492.2975,17644.942000000003,,,1993-03-31T00:00:00,,883.82,139.31400000000002,---,0,18035.920000000002,---,53496.576,72555.63,90200.57200000001
1993-04-30T00:00:00,,5127.9,18803.8,52075.8,---,12592.1,88599.6,,,1993-04-30T00:00:00,,3551.8,875.3000000000001,---,5182.7,---,2690.8,---,29,12642.899999999998,,,1993-04-30T00:00:00,,914.3,209.60000000000002,---,59.6,27846.899999999998,---,51855.8,80886.2,93529.09999999999
1993-05-31T00:00:00,,12199.7,13539.6,44549.700000000004,---,9394.500000000002,79683.5,,,1993-05-31T00:00:00,,3245,975.6000000000001,---,4745.4,---,2925.6,---,0,12490.300000000001,,,1993-05-31T00:00:00,,604.6,303.8,---,92.8,21774.500000000004,---,42479.2,65254.9,77745.2
1993-06-30T00:00:00,,10945.3,13481.2,48361.7,---,9766.6,82554.8,,,1993-06-30T00:00:00,,4133.5,1120.3,---,5606.099999999999,---,3114.9,---,0.1,14731.9,,,1993-06-30T00:00:00,,916.9000000000001,18.2,---,52.400000000000006,23346.4,---,46664.6,70998.5,85730.4
1993-07-31T00:00:00,,10120.900000000001,9317.500000000002,38589.700000000004,---,11209.8,69237.90000000001,,,1993-07-31T00:00:00,,4514.1,941.5,---,5558.2,---,2261.4,---,0.1,13636.199999999999,,,1993-07-31T00:00:00,,1241.8999999999999,18.700000000000003,---,192.1,19616.9,---,33938.7,55008.3,68644.5
1993-08-31T00:00:00,,13950.1,23780.300000000003,55931.6,---,9645.199999999999,103307.2,,,1993-08-31T00:00:00,,3324.6000000000004,1432.5,---,6152.7,---,2859.2000000000003,---,41.4,14324.8,,,1993-08-31T00:00:00,,1396.1,57,---,553.3,31004.500000000004,---,48654.6,81665.5,95990.3
