,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 3: Net Claims Incurred by Line of Business*,,,,,,,,,,,,,جدول 3: صافي المطالبات المتكبدة حسب نوع النشاط*
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q2,2016,-151.65,756,27923.92,21702.44,55070.92,29549.98,2505274.34,10340.95,2650466.9,150473.23,3622149.99,6423090.12
Q3,2016,846,-49,5319,21089,27720,17137,1739208,2225,1813495,120058,3239548,5173101
Q4,2016,-1589.24,1451,4191.74,17660.87,34440.96,18915.78,2197868.42,16352.27,2289291.8,162524.7,3575833.24,6027649.74
Q1,2017,120.41,2145,25361.11,14481.61,63979.72,55784.58,1954955.53,11199.8,2128027.76,143324.88,3727728.88,5999081.52
Q2,2017,3284.69,2417,23149.33,13255.57,39627.15,395.93,1915431.35,14015.28,2011576.3,137126.36,3733656.31,5882358.970000001
Q3,2017,561.95,-1625,30676.85,23438.29,28561.48,30336.08,1834846.32,15779.99,1962575.96,143087.82,3670262.86,5775926.64
Q4,2017,-194.59,2116,7725.56,24966.09,39481.74,40405.25,1971716.89,18108.81,2104325.75,126404.05,5009052.59,7239782.39
Q1,2018,-470.25,6710,7232.07,17090.34,20777.69,42075.56,1759210.18,21200.58,1873826.17,147468.85,4185652.78,6206947.8
Q2,2018,-479,-3093,16785,15325,28805,30036,1647087,19107,1753573,142391,3974073,5870037
Q3,2018,1567.03,202,24296,11384.01,31576.27,18549.87,1551186.6,16972.71,1655734.49,128687.13,4162168.38,5946590
Q4,2018,6442.35,7022,19937.11,3174.49,39100.99,4014.17,1661215.81,28044.7,1768951.62,146152.47,4752241.75,6667345.84
Q1,2019,-1223.38,27818,24011.23,17956.87,24050.42,31055.26,1451291.11,4252.34,1579211.85,122086.98,4626446.8,6327745.63
Q2,2019,153.88757108,-26747,18086.52479995,26028.72087195,37233.00610194,16311.23852198,1501334.59663,41105.01501715,1613505.98951405,131883.76921,4414096.12433,6159485.88305405
Q3,2019,-157.99049213,3440,11285.88818219,20822.44152791,25884.74717439,30706.92299869,1504228.2697113,12018.89201806,1608229.17112041,134151.487011,4471148.7385626,6213529.39669401
Q4,2019,2631.4751833,-1464,5881.91212079999,964.04954534,30972.2686532,14554.9696404251,1542936.24806333,26519.5392355758,1622996.462441971,143130.23913,4833799.97516389,6599926.676735861
Q1,2020,-1594.94,-849,2241.17,13388.59,28346.76,45861.78,1500929.1,16313.85,1604637.3100000003,128016.9,4830766.46,6563420.67
Q2,2020,-98.94488157,5198,20799.59732302,18012.83694792,34061.30169869,-417.88468799,943694.55787254,39454.21979645,1060703.68406906,166476.371194,3728831.24883113,4956011.30409419
Q3,2020,-181.55,994,15774.4,34356.37,42962.27,17754.93,1331945.24,41896.02,1485501.68,197566.04,4544656.41,6227724.13
Q4,2020,1323.06054064,10631,243.747958389999,17470.00364366,55687.16306608,48.1880564099993,1394933.56218427,15290.44837798,1495627.17382743,147929.30840376,4886434.06156934,6529990.543800529
,,,,,,,,,,,,,
Q2,2021,-658.81374259,17429,14351.41976372,13788.9188414,54888.32696229,36973.50872444,1452043.06271867,12190.50434247,1601005.9276104,241911.42613157,4680057.65281363,6522975.0065556
Q3,2021,178.24696204,-12439,27759.75341507,15595.67418767,46636.25296643,33086.09171884,1543275.09765282,53865.00281104,1707957.11971391,227259.85633,4814719.25818775,6749936.23423166
Q4,2021,1005.5350328,2201,13051.4679162,16417.92601761,43752.9273831,11478.85076982,1804189.20025456,40080.09384365,1932177.0012177401,240965.40440743,5447024.25389106,7620166.65951623
Q1,2022,529.49665007,1654,6385.86267368,14535.80757851,55709.89826992,41993.12743636,1674245.76281019,50088.642789,1845142.5982077299,233115.95314854,5581450.96562805,7659709.51698432
Q2,2022,632.91219606,4214,11754.39326868,15324.23671769,99748.04527259,26859.98338134,1781164.1418427,29984.45508318,1969682.1677622402,206669.43617,5586226.13792307,7762577.74185531
Q3,2022,626.67332057,3770,9995.82539877,17036.06142999,44895.40399233,-9535.50076272,1998316.13242318,6155.93554604,2071260.53134816,229995.52154,6067504.20795475,8368760.26084291
Q4,2022,409.96282942,4613,6743.36207968,19727.18110036,52562.32255616,-5011.19644201,2328804.97378546,62751.13858311,2470600.74449218,113909.61968246,6974470.18118673,9558980.54536137
Q1,2023,644.992078903746,-30.82,12557.730516081,19151.0187135053,88457.9091285162,1069.94828245104,2101832.89939009,3418.2186136591,2227101.896723206,198963.303262793,6997485.14489973,9423550.34488573
Q2,2023,1925.05926952,-1073,11196.02891906,33230.37040894,29720.53092414,2064.35293977,2045617.19251958,567.80963687,2123248.34461788,207117.34737,6722599.09567131,9052964.78765919
Q3,2023,-1158.00363662,565,26250.96913786,38283.81299482,37206.27534977,21908.28882385,2184926.51072533,-2588.78810031,2305394.0652946997,368561.68649923,7557214.45092917,10231170.202723099
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: Quarterly data are preliminary. Therefore, they might not conform with the annual audited financial statement.",,,,,,,,,,,,,.ملاحظة: البيانات الربعية أولية، لذا قد لا تتطابق مع البيانات السنوية المدققة
