,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 8a: Balance Sheet of Saudi Central Bank - Assets,,,,,,,,جدول 8a: الــمـركـــــز الـمــالــي  للبنك المركزي الســعــودي - الـموجــودات 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,غطاء النقد,,نقد,ودائع لدى,إستثمارات في أوراق,موجودات متنوعة,
,,Cash Cover,,في الصندوق,البنوك بالخارج,مالية في الخارج,أخرى,الإجمالي
,,ذهب,نقد أجنبي ,,Deposits,Investment,Other,
End of Period,,,Foreign,Cash,with Banks,in Foreign,Miscellaneous,TOTAL
,,Gold, Currencies,in Vault,Abroad,Securities,Assets,
Q1,2018,1623.5026203900002,234068.430184,23185.521697530003,392370.10896325,1211450.4761283298,47352.37199643,1910050.4115899298
Q2,2018,1623.5026203900002,255023.019482,30721.652860439997,425798.26641041005,1207825.965248,15664.919898850001,1936657.32652009
Q3,2018,1623.5026203900002,247684.950047,37854.55689987,433197.35300668,1210101.89252386,12034.89678166,1942497.1518794599
Q4,2018,1623.5026203900002,241825.626337,32583.75605311,405571.77334437,1204035.20514875,14224.29759027,1899864.1610938902
Q1,2019,1623.5026203900002,236153.726003,23217.19429171,392621.09901974,1233862.80675682,5350.923846549999,1892829.2525382102
Q2,2019,1623.5026203900002,260939.800137,38674.16304341,462969.21191054,1191477.1950562801,2573.3494832799997,1958257.2222509002
Q3,2019,1623.5024758099999,265386.40916958,49080.817110949996,404314.36086452,1197534.34429491,3489.6818715299996,1921429.1157873003
Q4,2019,1623.5024758099999,259843.37274557998,42987.158672059995,399832.17317684996,1203575.56694628,4944.751752949999,1912806.52576953
Q1,2020,1623.5024758099999,267169.77138558,36079.725955,366813.0593389,1131586.98243713,20471.719770400003,1823744.7613628202
Q2,2020,1623.5024758099999,273738.68420058,34529.76768454,350303.32994529,1046315.68758334,96598.30961744,1803109.281507
Q3,2020,1623.5024758099999,265894.06504058,31454.75261213,335784.56554454,1067410.65004494,120180.69269884,1822348.22841684
Q4,2020,1623.5024758099999,255320.92846057998,23276.44998953,311670.74841571995,1124050.6171578001,130852.39961046999,1846794.64610991
Q1,2021,1623.5024758099999,252902.51902757998,21281.94897616,282291.99139337,1138882.28417647,156435.89272555002,1853418.13877494
Q2,2021,1623.5024758099999,271488.12055158,37067.301543400004,265139.54308747,1133561.35267874,126398.92808785,1835278.7484248502
Q3,2021,1623.5024758099999,261866.98776760002,34632.79121118,306537.37362778,1152713.95329251,133329.5315018,1890704.1398766802
Q4,2021,1623.5024758099999,259689.57324158,33815.94189745,291417.9070208,1132710.96122997,129449.06186739,1848706.9477329997
Q1,2022,1623.5024758099999,265218.97689059,37600.2370751,281616.40554149,1122821.1046789503,176119.24720932,1884999.47387126
Q2,2022,1623.5024758099999,265573.63782858,35604.99433808999,338137.21838662,1126639.01218471,218526.15006197002,1986104.51527578
Q3,2022,1623.5024758099999,259920.06107658,38824.71644176,351647.36382225,1127907.63535171,211042.4797911,1990965.7589592098
Q4,2022,1623.5024758099999,249563.9897466,28738.52839147,324419.69611245,1130417.24409243,199024.31082508003,1933787.2716438398
Q1,2023,1623.5024758099999,257179.07891858,26969.14454231,337612.59403908,1029317.84427839,198908.35136323998,1851610.51561741
Q2,2023,1623.5024758099999,263457.89722499,18137.87939191,410463.80247667007,967402.8332505601,171188.1040454,1832274.0188653402
Q3,2023,1623.5024758099999,254909.033329975,24870.53039797,376284.60726245254,997890.6402357725,166950.82669979,1822529.1404017701
