,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
,,,,,,,,
Table 9: Reserve Assets,,,,,,,جدول 9: الأصول الإحتياطية,
(Million ﷼),,,,,,,(مليون ﷼),
نهاية الفترة,,الذهب النقدي,حقوق السحب,وضع الإحتياطي لدى ,نقد أجنبي ,إستثمارات في أوراق,إجمالي الأصول,
,,,الخاصة, صندوق النقد الدولي,وودائع في الخارج,مالية في الخارج,الإحتياطية,
End of Period,,Monetary,SDR,Reserve Position,Foreign Currency ,Investment in Foreign,Total Reserves ,
,,Gold,, in the IMF,and Deposits Abroad,Securities,Assets,
Q3,2017,1623.5026203900002,29019.4,7122,556024.38980969,1225791.4875693999,1819580.77999948,
Q4,2017,1623.5026203900002,29312.72,5775.76,585222.22503598,1239653.45106874,1861587.65872511,
Q1,2018,1623.5026203900002,30775.23,5778.57,605552.9417474499,1206463.68489533,1850193.9292631699,
Q2,2018,1623.5026203900002,29773.92,5531.52,659935.80522021,1202955.1285971,1899819.8764377,
Q3,2018,1623.5026203900002,30076.3,5952.91,659613.47008048,1204764.57587296,1902030.7585738301,
Q4,2018,1623.5026203900002,30333.3881,6189.99,625756.83080877,1198305.25379785,1862208.96532701,
Q1,2019,1623.5026203900002,30283.427626,7582.7264725,607251.61321264,1226538.5601959198,1873279.8301274497,
Q2,2019,1623.5026203900002,31980.936717,8062.212051,701211.4145209399,1183560.33444538,1926438.40035471,
Q3,2019,1623.5024758099999,31036.3067244264,8769.540376005201,647238.8470859,1188536.44066229,1877204.6373244314,
Q4,2019,1623.5024758099999,31437.8618264398,9429.720957278068,637185.2442998299,1193734.22619669,1873410.5557560478,
Q1,2020,1623.50247581,30913.205861976,9249.490519614,611634.47947608,1121738.99135994,1775159.66969342,
Q2,2020,1623.50247581,30015.4489894049,11954.3764074875,602514.59413707,1032949.38984355,1679057.31185332,
Q3,2020,1623.50247581,30712.7457329864,12178.5960225939,580149.95827432,1053837.81635411,1678502.61885982,
Q4,2020,1623.50247581,31509.6243793474,13656.9968191304,545431.8529631,1108986.94520085,1701208.92183824,
Q1,2021,1623.50247581,30969.374376573,12993.6712194585,513633.36916715,1124329.26820144,1683549.18544043,
