,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices,
,,,,,,,,,,,,,,,,
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق,
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 ),
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية,
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى,
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services",
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,,
Q2,2024,101.409541581746,100.75182054377967,98.85316871859959,97.1625789842128,105.063649114922,98.9788204162197,100.11899433359501,101.01815967519934,98.41313440329156,100.51054562342567,101.57627916455199,104.15805508126334,97.5866503698261,102.50508633547933,
Q3,2024,101.55545014621434,100.74962392992934,98.94653865112751,96.75524975771346,107.39791298293467,98.42772022337766,99.85701989761537,99.84839387395182,98.08629624210577,100.88073885764733,101.190571108675,104.05650497295699,97.77761974713117,102.66122494706667,
Q4,2024,102.116742499171,100.90233684964166,98.7505232255874,96.36286552488862,109.93090557646734,98.05392646999957,99.59060162795839,99.41907729944023,97.75665107860863,101.44323339826734,100.911452322608,105.33633293744867,99.64571391448993,103.80445019797367,
Q1,2025,102.76010201436134,101.308442514666,99.27317455758953,96.5589887753835,111.25761285155033,98.17551703640561,99.7199582704066,99.99946890854271,97.38276876463853,102.51621440862,100.94969093382234,105.61920494328801,103.389052640982,104.75990149636199,
Q2,2025,103.47942961486933,101.88367029773099,99.38852850215939,96.84123399148437,112.44992789990732,98.07160189997278,99.74915166571365,100.60871104148833,97.54147103973993,103.57993501052401,101.11614121422099,106.47045981664932,104.42132775443532,107.03371740582833,
Q3,2025,103.82552905741966,101.817359903183,99.52240041243037,96.82056773606412,113.53837741027569,97.9252549251313,99.77331284242364,101.08375581829567,97.69361250542465,103.87569251017133,101.87230852534867,106.28848778074068,105.670172971321,107.8761305924,
Q4,2025,104.20785636491667,102.290684140977,99.70217869027607,96.69884667533937,114.65676349738901,97.78987441835334,99.81592177207354,100.96057739877632,97.80741859688764,103.50245099491667,102.38530311007766,105.852132963342,105.40221744467767,110.53877602514467,
,,,,,,,,,,,,,,,,
2013-01-31T00:00:00,,84.6344182942838,76.3555736906725,46.9158312777562,112.041793968782,93.742545046853,86.5650570978016,86.1795838724651,73.3619010035404,91.0079972905429,72.6512640388625,87.3315744189792,72.9149906338631,75.4356920909273,87.4619730714444,
2013-02-28T00:00:00,,84.4431725844894,76.1587360730896,46.9086673509608,111.978490271421,93.773731370183,86.625384198747,86.1693883693633,73.2326270363822,91.0174394058268,72.5734017004194,87.3315744189792,72.7191193633751,64.4011181588185,87.0084415237162,
2013-03-31T00:00:00,,84.4317565338258,76.2191414493178,46.9249098063427,111.948047165816,93.784118864407,86.8706977020305,86.1821021465739,73.2396099254702,90.7936776640112,72.3479811510558,87.3315744189792,72.4318670941049,64.4011181588185,86.9961330493016,
2013-04-30T00:00:00,,84.4531422433047,76.4562517480161,46.6969483581077,111.795382375727,93.784792269391,86.8203871349768,86.3535892024509,73.3495735950364,90.5975325030539,71.4405290543128,87.3315744189792,72.3651379430364,64.4011181588185,87.1090850444753,
2013-05-31T00:00:00,,84.442363072744,76.4772939023706,46.6969483581077,111.964722832821,93.7846448348051,86.9770733405534,86.3930389651915,73.1124581990572,90.6825926037073,71.3988992115687,87.3315744189792,72.5248917900973,64.4011181588185,87.01200693559,
2013-06-30T00:00:00,,84.4590723087948,76.5055945921678,46.9876154691801,112.399576166563,93.784358082658,86.5076838921218,86.4137932946724,73.0309729573995,90.6147758553841,71.5175953546037,87.3315744189792,73.132402142151,64.4011181588185,86.9608884125142,
2013-07-31T00:00:00,,84.837575569809,77.0108668997245,46.7490979502089,112.508259808847,94.6626183693659,86.0572476767447,86.188927199293,73.3015950156874,90.768946163817,72.4930722290844,87.3315744189792,73.2057694698967,65.2950722935464,87.0420288806109,
2013-08-31T00:00:00,,84.7892598240037,77.0800106340656,47.0629613780418,112.830728511854,94.3650430914018,86.7834190422975,86.1672529866248,73.0978240818657,90.6679718123652,72.6113993670654,87.3315744189792,73.5958729973893,64.2796964175676,86.6380578501471,
2013-09-30T00:00:00,,84.8962421596762,77.6160511823843,47.3030805539555,112.741337664984,94.4494687713197,86.3079770730539,86.1232786427703,72.7673785444971,90.5560636916632,72.591814899755,87.3315744189792,73.3729774370018,64.2796964175676,87.4697328752864,
2013-10-31T00:00:00,,85.0003627633846,77.4134329006548,47.1044115711126,112.809560974347,94.5549652419956,86.8636852672295,86.3728000948296,72.8754712168157,90.3337435706825,71.7927036835724,92.0436125824398,72.8465452983697,64.2796964175676,87.6078407048601,
2013-11-30T00:00:00,,85.1576315709877,77.407210762438,48.1182002964267,112.828789589154,94.926143783556,86.9005548242738,86.3570870336458,73.1982932554855,90.5627312257691,71.6673609357523,92.0436125824398,72.9805015955239,64.2796964175676,87.5097892636589,
2013-12-31T00:00:00,,85.2486231142099,77.1704786343897,48.4349032995074,112.63703124487,95.6404254528543,87.0697154875709,86.4034729727248,73.0902111453509,90.3184202087097,71.6937010021585,92.0436125824398,72.8707367124245,64.2796964175676,87.5713351303539,
2014-01-31T00:00:00,,85.5834275652062,77.4100643982182,49.0024457121153,112.279134654508,96.6578228393623,87.3520691867194,86.73825006464,73.1665711441587,89.9674800174508,71.7719211055194,92.0436125629025,73.4269723612556,64.8904610305117,87.5729103902962,
2014-02-28T00:00:00,,85.7178011196357,77.2837979463991,49.273579391046,112.40447205534,97.238311175114,87.4983089310183,86.6833242567294,73.4300940140455,89.9961871448509,71.0395310891294,92.0436125629025,73.2462824658476,64.2816528012727,87.7071012796443,
2014-03-31T00:00:00,,85.740227494861,77.097207723515,48.9307784022738,112.314129243037,97.7853088023846,88.1240732189952,86.6696150345163,73.2345130633719,89.7250485398516,71.2621947004057,92.0436125629025,73.2027454618092,64.2816528012727,87.1855206717473,
2014-04-30T00:00:00,,86.1220537646568,77.6361612273309,48.9290424502052,112.398090137131,98.2113058833513,87.381346350772,87.237453220364,73.2034374411962,92.332081237785,70.1797755604226,92.0436125629025,73.4430998352642,64.2816528012727,87.9210069457598,
2014-05-31T00:00:00,,86.1362040114623,77.4693354547976,49.2718312771827,111.959674994178,98.8233680991477,87.3986456303678,87.2121851484086,73.0905311395466,92.2741577209586,70.1065928721881,92.0436125629025,73.6620021421261,64.2816528012727,87.2403809845515,
2014-06-30T00:00:00,,86.1995252124968,77.3883793465631,49.3314544409209,112.261078097985,98.4610460990084,87.2071975490263,87.1838484505428,73.4246087395528,91.9898570091145,70.5748528663637,92.0436125629025,73.771456291606,64.2816528012727,88.2624426168474,
2014-07-31T00:00:00,,86.4577248371029,77.8508217313162,49.298450681417,112.824651327336,98.5481937949169,87.2574562960211,87.8566397181386,73.7407708467286,92.0594056899452,73.0340043167527,92.0436125629025,73.555071230244,64.5525223134721,88.1198084102415,
2014-08-31T00:00:00,,86.5530657403933,77.9201641686102,49.0066448849971,112.802218706247,98.0824613972345,88.1438407724305,87.8971973406376,73.8852990878247,91.8745942276807,74.0126855569106,92.0436125629025,74.2485055204546,64.2605117940522,88.5011764307331,
2014-09-30T00:00:00,,86.6019836951899,78.4176636849424,49.4433023269531,113.116046187927,98.0904022701998,88.2575985458784,87.9236977321783,73.833658497354,91.59881181553,73.710030329394,92.0436125629025,73.5519627678663,64.2605117940522,88.5656981429787,
2014-10-31T00:00:00,,86.6684786116706,78.4651066820486,49.3161042222186,113.375517540553,98.3554837814994,88.9803751255656,88.1310922686559,73.6397327266031,91.4944901853811,73.2775529445631,91.783652114486,74.3474270761909,64.2605117940522,88.0008108574645,
2014-11-30T00:00:00,,86.8229902966007,78.4092692040021,49.3756081609645,113.479269854985,98.8168914764538,89.2896789234688,88.1421332933176,73.5980953770081,91.6741042229453,72.4581391692054,91.783652114486,74.2900393525485,64.2605117940522,88.6398337094776,
2014-12-31T00:00:00,,86.8503284500484,78.3086900289356,49.6034329697404,113.354649993204,98.7994074934512,89.5783766414783,88.1748385624764,73.8149949260325,91.5120844894223,72.4512310456553,91.783652114486,74.2240903605544,64.2605117940522,88.7901626659677,
