نهاية,,البنك الأهلي,بنك الرياض,البنك السعودي,البنك العربي,البنك السعودي,بنك الجزيرة,البنك الأول*,البنك السعودي,مصرف,مجموعة سامبا,,نهاية,,بنك الخليج ,بنك الإمارات ,بنك ,بي إن بي ,بنك الكويت,دويتشه,بنك ,بنك البحرين,بنك جي بي ,مصرف ,بنك باكستان,,نهاية,,بنك زراعات,ستيت بنك,البنك الصناعي,بنك قطر,بنك,بنك ,بنك ,بنك,المصرف,بنك,البنك  ,المجموع,,,,
الفترة,,السعودي**,,الفرنسي,الوطني,الأول*,,,للإستثمار,الراجحي,المالية **,,الفترة,,الدولي ,دبي الوطني,البلاد,باريبا,الوطني,بنك,مسقط,الوطني,مورجان تشيز ان أي,الانماء,الوطني,,الفترة,,بنكازي,أوف إنديا,والتجاري الصيني,الوطني,أبوظبي الأول ,إم يو إف جي,يو بي إس إيه جي,ستاندرد تشارترد,الأهلي العراقي,صحار الدولي,الأهلي المصري,,,,,
End of,,Saudi National,Riyad, Banque Saudi ,Arab,Saudi Awwal, Bank ,Alawwal,The Saudi ,Alrajhi ,Samba,,End of,,Gulf International,Emirates,Bank,BNP Paribas,  National Bank ,Deutsche,Bank,  National Bank ,J.P Morgan ,Alinma ,National Bank ,,End of,,T. C. Ziraat,State Bank,ICBC,Qatar National,First Abu Dhabi,المحدودة,UBS AG,Standard ,National Bank ,Sohar ,National Bank,Total,,,,
Period,,Bank**,  Bank,Fransi,National Bank,Bank*,AlJazira,Bank*,Investment Bank,Bank,Financial Group **,,Period,,Bank ,NBD, Albilad ,,of Kuwait,Bank, Muscat ,of Bahrain,Chase N.A Bank,Bank,of Pakistan,,Period,,Bankasi A. S.,of India,,Bank,Bank,MUFG,Bank,Chartered Bank,of Iraq,International Bank,of Egypt,,,,,
Q3,2021,502,251,85,132,99,80,---,52,526,---,,Q3,2021,3,7,106,1,3,1,1,1,1,100,1,,Q3,2021,1,---,1,1,3,1,1,1,---,---,---,1961,,,,
Q4,2021,506,237,85,131,99,81,---,51,521,---,,Q4,2021,3,7,106,1,3,1,1,1,1,100,1,,Q4,2021,1,---,1,1,3,1,1,1,---,---,---,1945,,,,
Q1,2022,504,233,82,130,99,82,---,51,517,---,,Q1,2022,3,7,106,1,3,1,1,1,1,100,1,,Q1,2022,1,---,1,1,3,1,1,1,---,---,---,1932,,,,
Q2,2022,498,230,82,129,99,82,---,51,515,---,,Q2,2022,3,7,108,1,3,1,1,1,1,105,1,,Q2,2022,1,---,1,1,3,1,1,1,---,---,---,1927,,,,
Q3,2022,497,231,82,129,99,82,---,51,514,---,,Q3,2022,3,7,109,1,3,1,1,1,1,105,1,,Q3,2022,1,---,1,1,3,1,1,1,1,---,---,1928,,,,
Q4,2022,494,236,82,127,100,82,---,51,516,---,,Q4,2022,3,8,105,1,3,1,1,1,1,104,1,,Q4,2022,1,---,1,1,3,1,1,1,1,---,---,1927,,,,
Q1,2023,493,236,82,126,99,82,---,51,513,---,,Q1,2023,3,8,105,1,3,1,1,1,1,106,1,,Q1,2023,1,---,1,1,3,1,1,1,1,---,---,1923,,,,
Q2,2023,485,223,82,126,97,82,---,51,513,---,,Q2,2023,3,9,105,1,3,1,1,1,1,107,1,,Q2,2023,1,---,2,1,3,1,1,1,1,---,---,1903,,,,
Q3,2023,477,223,82,126,95,80,---,51,511,---,,Q3,2023,3,13,105,1,3,1,1,1,1,108,1,,Q3,2023,1,---,2,2,3,1,1,1,1,1,---,1896,,,,
Q4,2023,470,237,82,127,94,75,---,51,509,---,,Q4,2023,3,15,108,1,3,1,1,1,1,108,1,,Q4,2023,1,---,2,2,3,1,1,1,1,1,---,1901,,,,
Q1,2024,474,238,82,125,93,75,---,51,509,---,,Q1,2024,3,18,107,1,3,1,1,1,1,110,1,,Q1,2024,1,---,2,2,3,1,1,1,1,1,---,1907,,,,
Q2,2024,476,232,82,122,93,74,---,51,511,---,,Q2,2024,3,18,107,1,3,1,1,1,1,112,1,,Q2,2024,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
Q3,2024,482,231,82,121,93,74,---,51,512,---,,Q3,2024,3,19,107,1,3,1,1,1,1,113,1,,Q3,2024,1,---,2,2,3,1,1,1,1,1,---,1910,,,,
Q4,2024,481,224,81,122,93,73,---,51,512,---,,Q4,2024,3,21,107,1,3,1,1,1,1,115,1,,Q4,2024,1,---,2,2,3,1,1,1,1,1,---,1905,,,,
Q1,2025,478,228,81,122,91,73,---,50,511,---,,Q1,2025,3,21,107,1,3,1,1,1,1,116,1,,Q1,2025,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
Q2,2025,475,229,80,121,90,73,---,50,510,---,,Q2,2025,3,21,107,1,3,1,1,1,1,121,1,,Q2,2025,1,---,2,2,3,1,1,1,1,1,---,1902,,,,
Q3,2025,476,229,79,121,88,73,---,50,510,---,,Q3,2025,3,21,107,1,3,1,1,1,1,124,1,,Q3,2025,1,---,2,2,3,1,1,1,1,1,---,1903,,,,
Q4,2025,481,224,79,121,88,73,---,50,511,---,,Q4,2025,3,22,108,1,3,1,1,1,1,127,1,,Q4,2025,1,---,2,2,3,1,1,1,1,1,1,1910,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-01-31T00:00:00,,244,178,58,117,65,13,37,11,352,45,,1997-01-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1120,,,,
1997-02-28T00:00:00,,243,178,56,117,65,13,37,11,352,45,,1997-02-28T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1117,,,,
1997-03-31T00:00:00,,243,178,56,117,65,13,37,11,352,45,,1997-03-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1117,,,,
1997-04-30T00:00:00,,244,178,56,117,65,12,37,11,355,43,,1997-04-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1118,,,,
1997-05-31T00:00:00,,244,178,56,117,65,13,37,11,355,45,,1997-05-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1121,,,,
1997-06-30T00:00:00,,244,178,56,117,65,13,37,11,355,45,,1997-06-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1121,,,,
1997-07-31T00:00:00,,244,178,56,117,65,13,37,11,355,45,,1997-07-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1121,,,,
1997-08-31T00:00:00,,245,181,55,115,67,12,37,11,357,43,,1997-08-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1123,,,,
1997-09-30T00:00:00,,246,177,55,115,64,12,37,11,355,43,,1997-09-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
1997-10-31T00:00:00,,245,181,55,115,67,12,37,11,357,43,,1997-10-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
1997-11-30T00:00:00,,245,181,55,115,67,12,37,11,357,43,,1997-11-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
1997-12-31T00:00:00,,245,181,55,115,67,12,37,11,357,43,,1997-12-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1997-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
1998-01-31T00:00:00,,245,190,55,115,67,12,37,12,357,43,,1998-01-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1211,,,,
1998-02-28T00:00:00,,245,190,55,115,67,12,37,12,357,43,,1998-02-28T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1211,,,,
1998-03-31T00:00:00,,245,190,55,115,67,12,37,12,357,43,,1998-03-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
1998-04-30T00:00:00,,245,190,55,115,67,12,37,12,357,43,,1998-04-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
1998-05-31T00:00:00,,245,190,55,115,67,12,37,12,357,43,,1998-05-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
1998-06-30T00:00:00,,245,191,55,115,67,12,37,12,358,43,,1998-06-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1219,,,,
1998-07-31T00:00:00,,245,191,55,115,67,12,37,12,363,43,,1998-07-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1224,,,,
1998-08-31T00:00:00,,246,191,55,115,68,12,36,12,363,43,,1998-08-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1225,,,,
1998-09-30T00:00:00,,247,191,55,115,68,12,36,13,363,43,,1998-09-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1226,,,,
1998-10-31T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1998-10-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1998-11-30T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1998-11-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1998-12-31T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1998-12-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1998-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999-01-31T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1999-01-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999-02-28T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1999-02-28T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999-03-31T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1999-03-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999-04-30T00:00:00,,247,193,55,115,68,12,36,13,364,43,,1999-04-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1229,,,,
1999-05-31T00:00:00,,247,195,55,115,69,12,36,13,364,43,,1999-05-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1232,,,,
1999-06-30T00:00:00,,247,195,55,115,70,12,36,13,364,43,,1999-06-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1233,,,,
1999-07-31T00:00:00,,247,195,56,115,70,12,36,13,364,127,,1999-07-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1235,,,,
1999-08-31T00:00:00,,246,195,56,115,70,12,37,13,368,84,,1999-08-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
1999-09-30T00:00:00,,246,195,56,115,70,12,37,13,374,84,,1999-09-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1202,,,,
1999-10-31T00:00:00,,246,191,56,115,70,12,37,13,374,80,,1999-10-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1194,,,,
1999-11-30T00:00:00,,246,191,56,115,70,13,37,13,375,80,,1999-11-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
1999-12-31T00:00:00,,246,191,56,115,70,13,37,13,375,80,,1999-12-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,1999-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
2000-01-31T00:00:00,,246,191,56,115,70,13,37,13,375,80,,2000-01-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1196,,,,
2000-02-29T00:00:00,,246,195,57,114,70,13,37,13,374,80,,2000-02-29T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-02-29T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2000-03-31T00:00:00,,246,195,57,114,70,13,37,13,374,80,,2000-03-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2000-04-30T00:00:00,,246,195,57,114,70,13,37,13,374,80,,2000-04-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2000-05-31T00:00:00,,246,195,57,114,70,13,37,13,374,80,,2000-05-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2000-06-30T00:00:00,,246,195,56,114,70,13,37,13,376,80,,2000-06-30T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1200,,,,
2000-07-31T00:00:00,,246,196,56,114,70,13,37,13,374,81,,2000-07-31T00:00:00,,--, ---,---,---,---,---,---,---,---,---,---,,2000-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1200,,,,
2000-08-31T00:00:00,,246,196,56,114,70,13,37,13,374,81,,2000-08-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2000-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
2000-09-30T00:00:00,,246,196,56,114,70,13,37,13,374,81,,2000-09-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2000-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
2000-10-31T00:00:00,,246,196,56,114,69,13,37,13,375,73,,2000-10-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2000-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1193,,,,
2000-11-30T00:00:00,,246,196,56,114,69,13,37,13,375,73,,2000-11-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2000-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1193,,,,
2000-12-31T00:00:00,,246,196,56,114,69,13,37,13,375,64,,2000-12-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2000-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1184,,,,
2001-01-31T00:00:00,,245,195,56,114,70,13,37,13,376,63,,2001-01-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1183,,,,
2001-02-28T00:00:00,,245,195,56,114,70,13,37,13,376,63,,2001-02-28T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1183,,,,
2001-03-31T00:00:00,,245,194,56,114,71,13,37,13,377,63,,2001-03-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1184,,,,
2001-04-30T00:00:00,,245,194,56,114,71,13,37,13,380,63,,2001-04-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1187,,,,
2001-05-31T00:00:00,,245,193,56,114,71,13,37,13,380,63,,2001-05-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
2001-06-30T00:00:00,,245,193,56,114,71,13,37,13,380,63,,2001-06-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
2001-07-31T00:00:00,,245,193,56,114,71,13,37,13,380,63,,2001-07-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
2001-08-31T00:00:00,,245,193,56,114,71,13,37,13,380,63,,2001-08-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
2001-09-30T00:00:00,,245,193,56,114,71,13,37,13,380,63,,2001-09-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1186,,,,
2001-10-31T00:00:00,,245,193,56,114,71,13,37,13,382,63,,2001-10-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1188,,,,
2001-11-30T00:00:00,,245,193,56,114,71,13,37,13,391,63,,2001-11-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1197,,,,
2001-12-31T00:00:00,,245,193,56,115,71,13,37,13,392,63,,2001-12-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2001-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1199,,,,
2002-01-31T00:00:00,,245,193,56,116,72,13,37,13,394,63,,2002-01-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
2002-02-28T00:00:00,,245,193,56,116,72,13,37,13,394,63,,2002-02-28T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
2002-03-31T00:00:00,,246,194,56,117,72,13,37,13,394,63,,2002-03-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1206,,,,
2002-04-30T00:00:00,,246,192,56,117,69,13,37,13,394,63,,2002-04-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
2002-05-31T00:00:00,,246,192,56,117,69,13,37,15,393,63,,2002-05-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1202,,,,
2002-06-30T00:00:00,,246,192,56,117,69,13,37,15,391,64,,2002-06-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
2002-07-31T00:00:00,,246,192,56,117,69,13,37,15,391,64,,2002-07-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
2002-08-31T00:00:00,,246,192,56,117,69,13,37,15,391,64,,2002-08-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1201,,,,
2002-09-30T00:00:00,,246,193,56,117,69,13,37,15,391,64,,2002-09-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1202,,,,
2002-10-31T00:00:00,,246,193,56,117,69,13,37,15,391,64,,2002-10-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1202,,,,
2002-11-30T00:00:00,,246,193,56,117,69,13,37,15,391,65,,2002-11-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
2002-12-31T00:00:00,,246,193,56,117,69,13,37,15,391,65,,2002-12-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2002-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1203,,,,
2003-01-31T00:00:00,,246,193,56,117,69,13,37,15,393,65,,2003-01-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1205,,,,
2003-02-28T00:00:00,,246,193,56,117,69,13,37,15,393,65,,2003-02-28T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-02-28T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1205,,,,
2003-03-31T00:00:00,,246,193,58,117,69,13,37,15,394,65,,2003-03-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1208,,,,
2003-04-30T00:00:00,,246,193,58,117,69,13,37,15,394,65,,2003-04-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1208,,,,
2003-05-31T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-05-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-06-30T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-06-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-07-31T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-07-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-08-31T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-08-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-09-30T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-09-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-10-31T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-10-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-11-30T00:00:00,,246,193,58,117,69,15,37,15,394,65,,2003-11-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2003-12-31T00:00:00,,246,193,58,117,69,15,37,15,393,65,,2003-12-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2003-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
2004-01-31T00:00:00,,246,193,58,117,69,15,38,15,393,65,,2004-01-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2004-02-29T00:00:00,,246,193,58,117,69,15,38,15,393,65,,2004-02-29T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-02-29T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2004-03-31T00:00:00,,246,193,58,117,69,15,38,15,393,65,,2004-03-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-03-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1210,,,,
2004-04-30T00:00:00,,246,193,58,117,68,15,38,15,393,65,,2004-04-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-04-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
2004-05-31T00:00:00,,246,193,58,117,68,15,38,15,393,65,,2004-05-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-05-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
2004-06-30T00:00:00,,246,193,58,117,68,15,38,15,393,65,,2004-06-30T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-06-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1209,,,,
2004-07-31T00:00:00,,246,193,58,117,68,17,38,15,393,65,,2004-07-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-07-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1211,,,,
2004-08-31T00:00:00,,246,193,58,117,68,17,38,15,393,65,,2004-08-31T00:00:00,,1, ---,---,---,---,---,---,---,---,---,---,,2004-08-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1211,,,,
2004-09-30T00:00:00,,246,193,58,117,68,17,38,15,393,65,,2004-09-30T00:00:00,,1,1,---,---,---,---,---,---,---,---,---,,2004-09-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1212,,,,
2004-10-31T00:00:00,,246,193,58,117,68,17,38,15,393,65,,2004-10-31T00:00:00,,1,1,---,---,---,---,---,---,---,---,---,,2004-10-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1212,,,,
2004-11-30T00:00:00,,246,193,62,117,68,17,38,15,393,65,,2004-11-30T00:00:00,,1,1,---,---,---,---,---,---,---,---,---,,2004-11-30T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1216,,,,
2004-12-31T00:00:00,,246,193,62,117,68,17,38,15,393,65,,2004-12-31T00:00:00,,1,1,---,---,---,---,---,---,---,---,---,,2004-12-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1216,,,,
2005-01-31T00:00:00,,246,193,62,117,68,17,38,15,393,65,,2005-01-31T00:00:00,,1,1,---,---,---,---,---,---,---,---,---,,2005-01-31T00:00:00,,---,---,---,---,---,---,---,---,---,---,---,1216,,,,
