,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 8b: Balance Sheet of Saudi Central Bank - Liabilities,,,,,,,,,جدول 8b: الـمـركــــز الـمـالــي للبنك المركزي الســـعـــودي - الــمـطـلـوبـــات         
(Million ﷼),,,,,,,,,(مليون ﷼)
نهاية الفترة,,العملة المصدرة,,ودائع هيئات وجهات حكومية ,الودائع النظامية,ودائع ,أذونات البنك المركزي واتفاقيات,مطلوبات متنوعة ,
,,Currency Issued,,وشبه حكومية,للمؤسسات المالية, لجهات أجنبية بالمحلية, اعادة الشراء المعاكس*,أخرى,الإجمالي
,,في التداول,لدى البنك المركزي,"Deposits of Government,",Regulatory Deposits ,Foreign Institutions,SAMA Bills and ,Other,TOTAL
End of Period,,,, Quasi Government ,for Financial ,Deposits in,Reverse Repurchase ,Miscellaneous,
,,In Circulation,At SAMA,and Institutions,Institutions ,Local Currency,Agreements*,Liabilities,
2001-04-30T00:00:00,,53423.82209015,17351,48367.99255516,11916.49702374,4235.58880799,17837.6214274,78919.50732223,232052.02922666998
2001-05-31T00:00:00,,53431.17009015003,15417,50885.513668930005,12011.44311561,3599.04078514,17183.614633099998,78132.2933103,230660.07560322998
2001-06-30T00:00:00,,53015.87020391997,19627,48421.54016401,12263.145138200001,3262.68893428,17884.2492295,72470.2193412,226944.71301110997
2001-07-31T00:00:00,,50848.364203920006,20469,55790.93189234,12333.76440926,3262.42763049,14497.69821975,72859.50947603998,230061.6958318
2001-08-31T00:00:00,,49896.384203919995,19530,53233.02092848,12061.505162520001,2624.80657183,13450.07155293,78351.34122709002,229147.12964677002
2001-09-30T00:00:00,,49769.75220390997,19297,53902.25830288,12079.32569076,129.52185106,11517.584223360001,83487.23217425999,230182.67444622997
2001-10-31T00:00:00,,50191.16540392002,19635,56461.10101591,12178.73114832,131.76286351000002,11392.7219807,78911.46250492,228901.94491728002
2001-11-30T00:00:00,,52123.34820392,18450,56406.48497136,12197.11739345,131.48025204,10997.273078459999,71502.24699967999,221807.95089891
2001-12-31T00:00:00,,52704.02820391997,19733,51528.10491171,12716.31987523,514.72536941,16684.855486020002,70591.71450606,224472.74835234997
2002-01-31T00:00:00,,52684.356203920004,19262,48541.88596829,12597.374342370002,563.7570199400001,11129.18080144,68319.41111836,213097.96545432002
2002-02-28T00:00:00,,55726.91500391997,17415.8,47005.48453698,12681.519412360001,603.15198761,11653.53929608,65260.19485389999,210346.60509084997
2002-03-31T00:00:00,,52281.165003920025,20866.100000000002,49841.62661657,12984.84301857,650.0485437000001,11103.371849939998,63287.91438898,211015.06942168
2002-04-30T00:00:00,,52590.44500392001,17652.100000000002,50563.348179819994,13139.84689877,1501.6600486700002,12127.346313389999,53614.49218572,201189.23863029
2002-05-31T00:00:00,,53085.34500391998,17157.2,47869.25794875,13414.80367211,1413.8541708399998,8225.25130964,59576.917553,200742.62965825998
2002-06-30T00:00:00,,52943.86500391997,18692.800000000003,48578.87109145,13627.69509517,1422.9582384100001,5665.09402255,57852.661094,198783.9445455
2002-07-31T00:00:00,,52569.76500391997,18939.5,46360.10302761,13470.80145358,984.7598026799999,8226.75589363,54161.56593284002,194713.25111426
2002-08-31T00:00:00,,52569.76500391997,18939.5,45747.98428575,13687.262102069999,317.84337944,8797.461167860001,54424.19835548999,194484.01429452994
2002-09-30T00:00:00,,51430.81500392006,18854.5,48790.226144240005,13728.150151790001,314.55622722000004,10200.046006120001,43141.47262832,186459.76616161002
2002-10-31T00:00:00,,54090.315003920026,15694.5,56286.67075639,13875.39331607,325.72405904000004,9812.716969969999,39829.91415867,189915.23426406
2002-11-30T00:00:00,,59820.12140606,12128,65595.92314336,14210,332,9929.77949426,30643.597121310006,192659.42116499002
2002-12-31T00:00:00,,57220.59625289004,16265.9,55708.731185900004,14281,369.97500894,25247,28846.81733105001,197940.01977878003
2003-01-31T00:00:00,,58618.89500391995,14594.800000000001,59142.01053205,14482.6290734,448.22223682,15459.5857788,36068.17146692,198814.31409190997
