,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,,
Table 28d: SADAD System Payments Value by Sectors,,,,,,,,,جدول 28d: مبــــالغ مـدفوعات نظام سداد حسب القـطاعـــــات
(Thousand ﷼),,,,,,,,, (ألف ﷼)
الفترة,,المال والتأمين وخدمات الاعمال,خدمات التعــــليم,الخدمات الحكومية,التقنية والاعلام والترفيه,الاتصالات وخدمات المرافق,خدمات النقل,أخرى,المجموع
,,,,,,,,,
Period,,"Financial, Insurance",Education Services,Government,"Technology, Media",Telecom ,Transportation,Other,Total
,,and Business Services ,,Services,and Entertainment,and  Utilities,Services,,
2024-10-31T00:00:00,,13714943.59185,54590.17907,59063270.98899,42354.05446,14003235.1119,196974.15641999998,2735747.06737,89811115.15006
2024-11-30T00:00:00,,12523367.5339,88935.24209999999,42965650.2669,31384.65407,11552316.9549,187772.44996,2724074.60117,70073501.703
2024-12-31T00:00:00,,14675265.25838,128206.34799,57047445.552650005,49810.27881,11152866.828370001,209673.12834,2095662.7460699999,85358930.14061
2025-01-31T00:00:00,,14634644.71786,186839.53313,53038752.971269995,39881.63755,8878532.429459998,185749.25505,3715597.2250300003,80679997.76934999
2025-02-28T00:00:00,,13115146.39827,51749.66895000001,48835511.992419995,31188.38774,8449720.70352,178361.14871,1759239.31116,72420917.61077
2025-03-31T00:00:00,,15154747.82108,70329.69334,50895969.47922,42308.83119,10625458.38801,165876.58291,2590330.2008,79545020.99655001
2025-04-30T00:00:00,,14630621.59576,97517.23308,76339955.90621,50855.55962,9737476.855959998,189243.05046,2562083.60908,103607753.81017001
2025-05-31T00:00:00,,15348760.56827,84528.04351999999,53804450.169340104,38953.601109999996,11327000.65845,179780.50594,2144399.55027,82927873.0969001
2025-06-30T00:00:00,,13177470.04114,74752.65163,47406964.81736,44231.48194,11308741.585649999,154139.73984999998,1791573.0015699998,73957873.31914002
2025-07-31T00:00:00,,16817555.5231,69059.75963,61458243.05659,43559.67946,12558167.41491,154124.70058,2651386.18035,93752096.31462
2025-08-31T00:00:00,,16287696.12183,121442.31365000001,46250302.9829999,41304.944859999996,12057032.16367,135360.48442,3812913.7313699997,78706052.7427999
2025-09-30T00:00:00,,16056580.59471,74909.06566,50478770.16386,41358.39518,12327594.779520001,100431.51856999999,2814599.05285,81894243.57035
2025-10-31T00:00:00,,16900104.397889998,45106.52842,55157681.89849,41269.07407,12218689.26627,93419.48523,3423146.0968899997,87879416.74726
2025-11-30T00:00:00,,16312491.62276,87228.24268000001,52729660.31005,41126.282549999996,10781394.41427,106375.14337,2099033.63345,82157309.64913
2025-12-31T00:00:00,,18114654.35146,84895.27029,59596065.020220004,44961.16026,11334567.519340001,103466.81928,3005352.45885,92283962.5997
2026-01-31T00:00:00,,18435415.67935,189004.8156,49046878.22566,37924.12475,10656288.55555,104733.61868000001,2880393.75572,81350638.77531
2026-02-28T00:00:00,,16910157.48983,45891.51096,48693424.807700105,34758.36848,9037996.442200001,94115.45542,4188101.46689,79004445.54148011
