,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,قائمة التأمين       Insurance
,,,,,,,,,,,,,
Table 1: Gross Written Premiums by Line of Business,,,,,,,,,,,,,جدول 1: إجمالي أقساط التأمين المكتتب بها حسب نوع النشاط
 (Thousand ﷼),,,,,,,,,,,,,(ألف ﷼)
الفترة,,التأمين العام                              General Insurance,,,,,,,,,الحماية ,الصحي,الإجمالي 
,,,,,,,,,,,والادخار,,
Period,,الطيران,الطاقة,الهندسي,البحري,الممتلكات,الحوادث والمسئوليات,المركبات,أخرى,المجموع ,Protection,Health ,Grand
,,Aviation ,Energy ,Engineering,Marine ,Property/ Fire,Accident and Liability,Motor ,Other ,Total ,and Saving,,Total
Q1,2018,17262.26,64786,234380.85,189684.62,651056.9,267420.69,3649851.65,168633.3,5243076.27,301783.26,5621197.38,11166056.91
Q2,2018,2114.41,254857,129791.66,135115,400098.18,164359.39,1956258,23691.75,3066285.39,221583.2,4260828.36,7548696.950000001
Q3,2018,28419.25,70369,161872.02,126871.12,369446.74,139642.67,1968369.98,60214.95,2925205.7300000004,286225.2,5448251.9,8659682.830000002
Q4,2018,100196.73,121465,177713.38,97724.51,292629.54,153235.82,1908436.13,31502.36,2882903.4699999997,201192.09,4573232.32,7657327.88
Q1,2019,19114.22,94626,320843.62,187314.27,660681.03,277793.11,3095219.2,161530.4,4817121.850000001,228000.59,6967515.01,12012637.45
Q2,2019,24319.29414,362191,148584.59172,140598.01699,398241.4005,178860.18529,1780222.49205,50350.43448,3083367.41517,245039.22952,4921392.67415,8249799.318840001
Q3,2019,9602.3981,58788,138356.3447,200479.14815,388639.67028,177330.66271,1775326.86589,75898.03144,2824421.12127,224138.48357,5828395.04758002,8876954.65242002
Q4,2019,105483.82205,184839,590631.44232,125236.73033,397060.29034,202536.42609,1952881.23627194,-2883.58870000002,3555785.3587019397,437706.55355,4757605.259758,8751097.17200994
Q1,2020,53904.33,53608,520360.52,218059.18,662955.45,338903.11,2733212.12,209293.1,4790295.81,304568.7,7649189.75,12744054.26
Q2,2020,6469.99735247,386809,192834.48067943,240464.01332713,502464.3170548,270270.80945909,1886494.52618296,34610.50172938,3520417.64578526,325645.47075,4820442.83884472,8666505.95537998
Q3,2020,10329.1,258755,176461.79,135767.86,527425.18,190089.37,1930494.92,79434.73,3308757.95,298011.13,5238261.25,8845030.33
Q4,2020,107924.50067,211651,172114.8741,95666.6006199999,416375.19719968,214418.89639413,1807771.18052001,32863.01082,3058785.26032382,335415.17489,5128945.44836,8523145.883573819
Q1,2021,34283.25256,105900,347598.18272,209695.39357,739927.00279,281099.20948,2547334.793964,307404.55984,4573242.394924,384490.11398,7837841.18302,12795573.691924
Q2,2021,14297.583,764902,216593.28422,253655.04568,546118.72015,282629.99972,1757599.996045,19527.98973,3855324.618545,436399.2867,5159313.78248,9451037.687725
Q3,2021,36144.01572,305371,208209.03888,130514.96343,521605.76344,297541.63671,1941082.209825,64282.92922,3504751.5572249996,374987.3934,6001483.82238003,9881222.77300503
Q4,2021,104404.79672,119097,229634.603511,102458.7108,474439.56607,308958.114754,1916625.097285,24971.1858,3280589.0749399997,511352.44276,6110698.14423004,9902639.66193004
Q1,2022,33192.71804,118846,441555.586734,186123.4425,814571.302148,430671.794155,2673351.345561,312719.48287,5011031.672008,502102.55099,9468636.53574974,14981770.758747742
Q2,2022,11086.7604,869812,261236.577825,242901.89693,545633.361485,480489.851431,2173604.691848,196554.25055,4781319.390469,589371.88608,6799245.64501,12169936.921558999
Q3,2022,50780.8105,434685,542189.687563,135186.849301,682697.091044,450699.67932,2525716.500807,151611.66161,4973567.280145,474365.37821,7589457.08014972,13037389.738504719
Q4,2022,139520.38597,229310,348819.82739,128096.592241,420246.546027,522859.45017598,2967916.59562605,130079.44607,4886848.84350003,307718.74794,7972501.47099867,13167069.0624387
Q1,2023,27038.96971,53505,639470.211056,169314.54767,799330.331627,491323.352037,3714189.366913,25976.12634,5920147.905353,428322.10051,12555928.1865891,18904398.1924521
Q2,2023,21873.66242,855225.72216,506995.409574,284640.71607,453339.975533,466094.374868,3115226.0658542,28013.40969,5731409.3361692,537519.0141,8849178.99783018,15118107.34809938
Q3,2023,52012.54081,75780,528150.64819022,140443.04486,803878.38601,388371.5206645,3877893.02775205,24569.68114,5891098.849426771,533561.21239,8514432.55299884,14939092.614815611
,,,,,,,,,,,,,
,,,,,,,,,,,,,
