,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,احصاءات اسعار الفائدة وأسواق المال   Money Market & Exchange Rate Stat.,
,,,,,,,,,,,,,,
Table 2a: Exchange Rates of Some Foreign Currencies Against Saudi Riyal,,,,,,,,,,,,,جدول 2a:  سعــــر صرف بعض العــمـــلات الأجــنبـيــــة مقـــــابل الريال السعودي,
,,,,,,,,,,,,,,
متوسط,,الدولار,الريال ,اليوان,الين ,الروبية ,الجنيه,الوان,الدولار,اليورو,البات,الليرة,الفرنك ,
الفترة ,,الاسترالي,البرازيلي,الصيني,الياباني ,الهندية,الإسترليني ,الكوري الجنوبي,الأمريكي ,,التايلاندي,التركية,السويسري ,
Period,,Australian,Brazilian,Chinese,Japanese,Indian,Pound,Korean,U.S.,EURO,Thai,Turkish,Swiss,
Average,,Dollar,Real,Yuan,Yen,Rupee,Sterling,Won,Dollar,,Baht,Lira,Franc,
Q1,2017,2.84416152936492,1.19409038462238,0.544296745991392,0.0330395821013936,0.0560289855490399,4.64580258062185,0.00325901270999729,3.75,3.99487544334268,0.106855570479342,1.01536666666667,3.73588959193425,
Q2,2017,2.80661768728857,1.17595459126777,0.545795017047428,0.0338091391079665,0.0581931202645303,4.80081694948251,0.00332401035037552,3.75,4.11150159764577,0.109119762293257,1.04833333333333,3.79328585270554,
Q3,2017,2.96221701016659,1.18658760410143,0.562230546685521,0.0337968018246027,0.058330773124193,4.9084574103315,0.00331177723226926,3.75,4.40553578306269,0.112419399263932,1.0722,3.89402740622927,
Q4,2017,2.88258557301287,1.15593085046376,0.567200473413042,0.0331930379800158,0.0579366752595784,4.97585638402756,0.00339055655139722,3.75,4.41462098563544,0.113804793399866,1.0235,3.79921805697103,
Q1,2018,2.94762295522297,1.15578926399484,0.589953737921832,0.0347189640379372,0.0582989535030277,5.21781502069856,0.00349714931421249,3.75,4.60917629566292,0.11892259055786,0.981033333333333,3.95673204286743,
Q2,2018,2.83816558425674,1.04312860242656,0.587771381479025,0.0343860807969408,0.0559858768479201,5.10542938492317,0.00347757542850539,3.75,4.4697279678289,0.117418781960512,0.862866666666667,3.81021237020639,
Q3,2018,2.74324534531828,0.951402442453567,0.550882427914098,0.0336551048286612,0.0535587832667884,4.88731290534786,0.00334312446959399,3.75,4.36091850352237,0.113736836530098,0.676,3.81006384927915,
Q4,2018,2.69320861218137,0.986090022357684,0.541830248346469,0.0332128998717156,0.0519719701887512,4.82822726494493,0.00332487066420098,3.75,4.28029236781183,0.114246772241952,0.681833333333333,3.76574005381096,
Q1,2019,2.67052576698822,0.99544200709999,0.555904133311403,0.0340338785439983,0.0532186911849743,4.88398146235337,0.00333285011827667,3.75,4.25930011859232,0.118575853316109,0.699333333333333,3.76139179528543,
Q2,2019,2.62843392638644,0.960391345698024,0.549415398597366,0.0341493553775991,0.0539922592171786,4.8296577217566,0.00322169725154457,3.75,4.21692186779053,0.118814383965802,0.6384,3.75017164970556,
Q3,2019,2.57428122614881,0.948162479970081,0.535014485976582,0.0349188676608203,0.0533419077368418,4.62529067883113,0.00314529181187473,3.75,4.16968671010902,0.12211471410275,0.660233333333333,3.80293861453521,
Q4,2019,2.55777804800507,0.911832840659303,0.532340226831856,0.0345318410760766,0.0526528402721333,4.81675315027268,0.00318723840239864,3.75,4.15015875963179,0.123784658256188,0.643666666666667,3.78714982461942,
Q1,2020,2.46474407397562,0.844332670822614,0.536701142303002,0.0344221667639191,0.0518316069869829,4.79005248214811,0.00314176293053216,3.75,4.13131088452881,0.119854379972409,0.616266666666667,3.87040281706615,
Q2,2020,2.46218589218471,0.698760523857269,0.529423427080717,0.0348455036148216,0.0494378546669717,4.66342882990447,0.00307704884799601,3.75,4.13300954613786,0.117640873634719,0.548433333333333,3.89214858206472,
Q3,2020,2.68417434209837,0.69492638664646,0.542848170827787,0.0352521830173614,0.0504387500607371,4.84114827641391,0.00315525389529988,3.75,4.38201938643411,0.119748213199216,0.5213,4.07576793295314,
Q4,2020,2.72741984614834,0.693704134525702,0.566880577754908,0.0358513995378869,0.0508045009264264,4.93832431142338,0.0033481350417701,3.75,4.46023113532638,0.122227646916825,0.463333333333333,4.14060028988207,
Q1,2021,2.90536592084533,0.684786656495456,0.578633564434468,0.0353240847923375,0.0514344924691729,5.17820861838919,0.00336894043338489,3.75,4.52470920230447,0.123960857616898,0.508533333333333,4.14799310262936,
Q2,2021,2.889033908430132,0.7107912544601779,0.5811254225614043,0.034244593472763984,0.05086543349666495,5.248036309860048,0.0033470005524399546,3.75,4.524042133967292,0.11950698798185769,0.4479333333333333,4.119472415652486,
Q3,2021,2.7554530032143547,0.7170261521306495,0.5797589321763353,0.034047930424953625,0.05062828243320986,5.169848601415943,0.0032393841411539094,3.75,4.4193650834166665,0.11380841749472338,0.44053333333333333,4.0836164738797995,
Q4,2021,2.7380464968688436,0.6721005677535865,0.586953587723123,0.03301440807065228,0.050050793138166405,5.064250600093334,0.003170311505875661,3.75,4.2967022060711955,0.11248156721917826,0.3394892,4.064012768068152,
Q1,2022,2.715428177199845,0.7165565977910936,0.5907118574573548,0.03222015694562065,0.04980335274218698,5.025965797861617,0.003110718573045923,3.75,4.203026490933227,0.11330317125965536,0.26783333333333337,4.056826422228373,
Q2,2022,2.680792700400979,0.7646794836596328,0.5665109722569355,0.028897576982067727,0.04849176429937752,4.709466247222433,0.0029880696868547856,3.75,3.996313765863216,0.10887763832483986,0.23786666666666667,3.8883078030619145,
Q3,2022,2.566892627299768,0.7189769692632987,0.5454475689283866,0.027065220527086858,0.046944256473001586,4.408255600916409,0.002791029296161849,3.75,3.7696058524279796,0.10285763923253513,0.20901,3.8853926436378097,
Q4,2022,2.4587490312497486,0.713088843816438,0.5258922355559262,0.02643712684632363,0.04564630419766162,4.39143503619542,0.002744936381731959,3.75,3.815125519098047,0.10275734488736003,0.20103333333333331,3.8793739659143505,
Q1,2023,2.5657343855746055,0.7221074639337586,0.5477230408825831,0.02837993027344496,0.04559858667604511,4.56392694841605,0.002941605144471657,3.75,4.029290745448002,0.11076994694746835,0.19877432397120898,4.05954688388133,
Q2,2023,2.5041264993249976,0.7565661222566212,0.5344295104970345,0.027368653683033872,0.04561176864561349,4.691751958314198,0.0028495723091747716,3.75,4.0775651757562414,0.10901310853519186,0.18151844311623,4.167277832055916,
Q3,2023,2.4553121847032195,0.7682764815748376,0.5175303225752557,0.02593267834907496,0.04537403351559708,4.746866982103548,0.002863084372192907,3.75,4.080859948117165,0.10662132713133776,0.1400576686835693,4.245952916587985,
Q4,2023,2.4310926023940933,0.7557585932176729,0.5184347792029201,0.025284056444596675,0.04503303457791484,4.639868123995052,0.002833778109883328,3.75,4.022426620299625,0.10484171128304653,0.13133741936059132,4.20950501116326,
Q1,2024,2.478436101871533,0.7602357793496596,0.5225379215912269,0.025395070132728688,0.0451367277587686,4.752692107557731,0.0028283599351871954,3.75,4.0751245700475405,0.10594916913463771,0.12100311833333333,4.332859053678907,
Q2,2024,2.4707093521591816,0.7205631983548614,0.5177672603278464,0.024085137262166306,0.044949303219816994,4.730965606364282,0.0027352565147461725,3.75,4.038014939246683,0.1021245448539494,0.11558666666666667,4.143745903179647,
Q3,2024,2.5113400904038468,0.676312082729134,0.522913419197213,0.02515535848872685,0.044758445301023554,4.870604871714503,0.0027581000615748267,3.75,4.118379584004266,0.10785466868780709,0.11173566666666666,4.333311588702603,
Q4,2024,2.455263136583353,0.6452404701327417,0.5209725994862695,0.024695458037802976,0.04444414435847327,4.8172460857465325,0.0026927141884447985,3.75,4.009716603293234,0.11035979590779456,0.10846666666666667,4.285419818081834,
Q1,2025,2.35045206542623,0.640711611564643,0.5151962957169263,0.02458104720202592,0.04323000134246124,4.7173341169099405,0.002582443817611557,3.75,3.941506763288411,0.11046813519389818,0.10326666666666666,4.16987905902405,
Q2,2025,2.3993215536213466,0.6601320153238057,0.5179409871919102,0.025971830317990822,0.04386756533017776,5.000313229053757,0.0026680066506529613,3.75,4.252539954971889,0.11328301516802229,0.09651,4.54556297084267,
Q3,2025,2.454813266534289,0.688311099942647,0.5239604658035272,0.025457185007138308,0.042988308797361346,5.059919243131701,0.0027076286786648462,3.75,4.38070038597664,0.1161541215304651,0.09184333333333333,4.686531574930225,
Q4,2025,2.4585672645370225,0.6953976463156207,0.5291216914447776,0.024395953635885193,0.04207583792999101,4.98546173924031,0.002587085322627865,3.75,4.3634972316592,0.11648862239100133,0.08864533333333334,4.691548829031048,
,,,,,,,,,,,,,,
2009-01-31T00:00:00,,2.54396399288851,1.62668674309864,0.548394270690163,0.0414867972729519,0.0767827593244287,5.41159346298739,0.00278775550063051,3.75,4.96449641150538,0.107396822081024,-,3.3213528319722,
2009-02-28T00:00:00,,2.43380723319689,1.62506577976332,0.548585233473435,0.0405719800630928,0.0761986074155746,5.40169036135593,0.00262677493047634,3.75,4.79426415167877,0.106391762631882,-,3.21727999895751,
2009-03-31T00:00:00,,2.4922149068551,1.61095539169111,0.548719520121501,0.03831848546032,0.0731508447219046,5.32078925494597,0.00258161087417882,3.75,4.89368242070461,0.104760397034591,-,3.24595811715256,
2009-04-30T00:00:00,,2.67069087046394,1.70505288422884,0.54895410231059,0.0378841910299141,0.0748954327510323,5.51129092127975,0.00279504630437448,3.75,4.94636039564485,0.10573178020333,-,3.26558227029947,
2009-05-31T00:00:00,,2.86619857243986,1.81021965497324,0.549486428969914,0.039014852895321,0.0772984826310935,5.78976754323221,0.00297974008811721,3.75,5.11891664537355,0.108642092559691,-,3.38449720324943,
2009-06-30T00:00:00,,3.00844719180614,1.91563344093617,0.54878744865304,0.0388576646995192,0.0785064911118546,6.13421226127691,0.00297343668427409,3.75,5.25616650501234,0.10979806134545,-,3.46683617355711,
2009-07-31T00:00:00,,3.01482065705085,1.93778848734979,0.548885110515034,0.0396896078552454,0.0773107377105816,6.13135982909856,0.00296733306279789,3.75,5.28288742201056,0.110148852340435,-,3.47457192803644,
2009-08-31T00:00:00,,3.12907558509957,2.03408661466581,0.548870471564159,0.0395455592139513,0.0776172460505615,6.2068631113972,0.0030283821114056,3.75,5.35050800381805,0.110228022977785,-,3.50950927815189,
2009-09-30T00:00:00,,3.22916078515129,2.05946881889154,0.549136400110442,0.0409935661635678,0.0774208036750176,6.12704120254873,0.00307670261047156,3.75,5.46061014267174,0.110767493189153,-,3.60409442456735,
2009-10-31T00:00:00,,3.40867941464225,2.15897904288145,0.549245840083483,0.0415386508070977,0.0802735288174218,6.06843693129617,0.00318989800005246,3.75,5.55614486018626,0.112216417097706,-,3.67049279420851,
2009-11-30T00:00:00,,3.45083767669931,2.17509949217381,0.549258474752457,0.0420531230041401,0.0805286433017538,6.22030018796348,0.00322379670102512,3.75,5.59292532380349,0.112632284771038,-,3.7040137223954,
2009-12-31T00:00:00,,3.38535587135046,2.14706549974424,0.54921860342999,0.0419332222172682,0.0804216095592313,6.09582261090073,0.0032180680200997,3.75,5.48009519493247,0.112857407268259,-,3.64931416976623,
2010-01-31T00:00:00,,3.43055893584644,2.11720201164261,0.549262946593669,0.0411425022277761,0.0816560069752649,6.06459177776752,0.0032910013510227,3.75,5.35203497939983,0.113481023058142,-,3.62515555203873,
2010-02-28T00:00:00,,3.32204392499868,2.03226362873119,0.5492864350998,0.0415263263845366,0.0809359613010825,5.85591844027653,0.00324082359173859,3.75,5.13285609213808,0.113122337755247,-,3.49855558662546,
2010-03-31T00:00:00,,3.42004939133971,2.09941594936878,0.549334966567237,0.0414361520919102,0.082423778707362,5.642919324797,0.00330267690626701,3.75,5.08819813364189,0.115246391812325,-,3.5143407280904,
2010-04-30T00:00:00,,3.4743543680942,2.13281630455749,0.54935752596397,0.0401612128850537,0.0842722672015637,5.74877205442923,0.00335637569951644,3.75,5.02713820510623,0.11617100329798,-,3.50706418890343,
2010-05-31T00:00:00,,3.27317113069788,2.08135738044158,0.549258105636907,0.0408721059376182,0.0819629925474656,5.4888909160803,0.00324014344196891,3.75,4.71684043538302,0.115848800690083,-,3.32986624816882,
2010-06-30T00:00:00,,3.1984285593316,2.07490890919662,0.550139296887851,0.041249932679629,0.0805388663539933,5.5334377520179,0.00309377825101892,3.75,4.57818673758898,0.11546962547483,-,3.32547922820399,
2010-07-31T00:00:00,,3.28372203277946,2.11775422930971,0.553278601056035,0.0427808481067142,0.0800328886714829,5.73646348762399,0.00310881517233172,3.75,4.79572164196897,0.116007424575831,-,3.56073707953838,
2010-08-31T00:00:00,,3.37518102085552,2.13174812928083,0.552274911056436,0.0438754676568705,0.0805336323750821,5.87279723964556,0.00317820993363758,3.75,4.83531553972864,0.117994293562659,-,3.60485898698335,
2010-09-30T00:00:00,,3.51262357492573,2.17933754132318,0.556231700836359,0.0444417144030897,0.0814711639607266,5.84026347897695,0.00321701476086254,3.75,4.90357042638734,0.121677720639871,-,3.74302273462711,
2010-10-31T00:00:00,,3.67839269791316,2.23619483012177,0.561953210115841,0.0458122116014945,0.084427423473729,5.94595354817987,0.00333484115115913,3.75,5.21096231627029,0.12514251004968,-,3.87436657925126,
2010-11-30T00:00:00,,3.71836953194051,2.19040070096945,0.563425037495297,0.0455485610913479,0.0834561434458319,5.99957003197348,0.00333720514827122,3.75,5.1374054300392,0.125571551557426,-,3.81883045254236,
2010-12-31T00:00:00,,3.70849411265658,2.20992575019719,0.563607105356539,0.0449536181315973,0.0830233743500243,5.85783704876371,0.00326733213588896,3.75,4.95717815070052,0.124524241883807,-,3.86370146171842,
2011-01-31T00:00:00,,3.72910192193807,2.24105363082224,0.567894964255855,0.0453948282557681,0.0826314281032533,5.91538702908942,0.0033472933187809,3.75,5.01078093345861,0.122623997683276,-,3.92205989340856,
2011-02-28T00:00:00,,3.78161755501816,2.24841857408655,0.569559398195119,0.0454590779808393,0.0825006095557756,6.04655937802766,0.0033529685302054,3.75,5.1179813935917,0.122102569485761,-,3.94377767631089,
2011-03-31T00:00:00,,3.78835244880747,2.26102183612676,0.571103863624649,0.0458524712866763,0.0833541999848964,6.06281407811366,0.00334106339276871,3.75,5.24969121380799,0.123484745881862,-,4.08035447864697,
2011-04-30T00:00:00,,3.95785345491798,2.3552982333632,0.574277157635768,0.0449592521726269,0.0844874526133398,6.12862695427668,0.0034494068869873,3.75,5.41566984490604,0.124803725712372,-,4.17295198964751,
