,,,,,,,
القائمة الرئيسية   Main List,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,
Table 26a: Bank Clearings,,,,,,,جدول 26a:  المقاصة المصرفية
,,,,,,,
,,(شيكات أفراد وشركات ),,,(شيكات بين المصارف ),,
الفترة,, (Commercial and Personal Cheques),,, (Inter Bank Cheques),,
,,عدد الشيكات, القيمة ,متوسط قيمة الشيك,عدد الشيكات, القيمة ,متوسط قيمة الشيك
Period,,No. of Cheques,Total Value,Average Value ,No. of Cheques,Total Value,Average Value 
,,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque,(Thousands    آلاف ),(Million SAR   مليون ريال),per Cheque
1990,,1888.464,228369,120928.43707902296,---,---,---
1999-06-30T00:00:00,,593.03,30232.73,50980.10218707317,120.33,8697.87,72283.47045624534
1999-07-31T00:00:00,,533.21,27867.08,52262.86078655689,112.51,8665.64,77021.0647942405
1999-08-31T00:00:00,,515.21,26647.5,51721.628073989246,117.99,8009.27,67880.9221120434
1999-09-30T00:00:00,,538.61,27218.55,50534.80254729767,117.24,8409.49,71728.84680996247
1999-10-31T00:00:00,,549.47,27580.64,50194.98789742843,119.93,7913.39,65983.40698740933
1999-11-30T00:00:00,,575.74,30013.77,52130.77083405704,123.68,8619.23,69689.7639068564
1999-12-31T00:00:00,,633.1,34019.61,53734.970778707946,125.55,9944.32,79206.05336519316
2000-01-31T00:00:00,,427.06,28716.68,67242.7293588723,101.41,7124.71,70256.48358150084
2000-02-29T00:00:00,,548.03,26524.84,48400.34304691349,119.4,8537.91,71506.78391959798
2000-03-31T00:00:00,,471.12,27100.46,57523.475972151464,119.6,9421.598,78775.90301003345
2000-04-30T00:00:00,,612.43,35306.09,57649.184396584096,129.7,9671.03,74564.61063993834
2000-05-31T00:00:00,,614.89,32958.41,53600.49764998618,133.85,9594.38,71680.08965259619
2000-06-30T00:00:00,,527.78,30255.99,57326.897570957604,115.52,8574.03,74221.17382271469
2000-07-31T00:00:00,,536.12,29588.17,55189.453853614854,114.56,8773.29,76582.48952513967
2000-08-31T00:00:00,,502.73,27289.01,54281.6422334056,126.86,7399.84,58330.75831625414
2000-09-30T00:00:00,,506.95,26734.03,52735.04290363941,107.48,6973.65,64883.23409006327
2000-10-31T00:00:00,,586.3,30184.27,51482.636875319804,122.52,9648.46,78750.08161932745
2000-11-30T00:00:00,,557.6,32089.75,57549.76685796269,114.29,8740.64,76477.7320850468
2000-12-31T00:00:00,,474.77,32756.81,68995.11342334184,95.18,9167.61,96318.65938222317
2001-01-31T00:00:00,,577.09,33673.97,58351.33168136686,116.406,9294.75,79847.68826349157
2001-02-28T00:00:00,,538.36,31638.42,58768.14770785348,110.67,10646.42,96199.69278033794
2001-03-31T00:00:00,,452.76,27698.77,61177.59961127308,117.09,10081.79,86102.9122896917
2001-04-30T00:00:00,,588.52,35532.63,60376.24889553456,130.21,10914.49,83822.21027570845
2001-05-31T00:00:00,,573.39,33560.48,58529.93599469821,115.36,11793.46,102231.79611650485
2001-06-30T00:00:00,,518.08,32661.25,63042.869827053735,105.12,10407.86,99009.32267884324
2001-07-31T00:00:00,,551.08,32486.77,58951.09602961457,108.95,10766.61,98821.56952730611
2001-08-31T00:00:00,,492.04,38230.68,77698.31720998294,116.16,9838.23,84695.50619834711
2001-09-30T00:00:00,,528.62,29958.82,56673.64080057508,102.24,8637.91,84486.60015649453
2001-10-31T00:00:00,,561.28,28368.18,50541.93985176739,110.72,9668.83,87326.86054913295
2001-11-30T00:00:00,,523.4,27646.07,52820.15666794039,98.14,9650.22,98331.15956796412
2001-12-31T00:00:00,,462.91,23877.37,51581.020068695856,90.95,8706.73,95730.95107201759
2002-01-31T00:00:00,,583.33,29241.252,50128.147017982956,114.35,10645.77,93098.11980760822
