,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
Q1,1996,45008.198,83226.502,128234.69999999998,61755.078,189989.778,56612.007,246601.78499999997
Q2,1996,44985.365999999995,88015.869,133001.235,61296.042,194297.277,56685.294,250982.571
Q3,1996,41348.81289539999,86951.385,128300.1978954,66048.799,194348.9968954,55365.236,249714.2328954
Q4,1996,43037.634999999995,89890.221,132927.856,71080.751,204008.60700000002,54313.953,258322.56000000003
Q1,1997,45475.57,96658.582,142134.152,70956.802,213090.954,54995.821,268086.775
Q2,1997,47367.604,97130.391,144497.995,69364.539,213862.53399999999,55827.952,269690.486
Q3,1997,44565.843,94200.418,138766.261,72463.189,211229.45,55039.788,266269.238
Q4,1997,45823.203,95360.545,141183.748,77165.538,218349.286,54199.523,272548.809
Q1,1998,48884.796,98017.262,146902.05800000002,78781.845,225683.90300000002,51329.35,277013.253
Q2,1998,47004.653999999995,101012.645,148017.299,80143.232,228160.53100000002,52004.757,280165.288
Q3,1998,43210.206,94923.431,138133.637,79211.595,217345.232,56969.817,274315.049
Q4,1998,45019.049000000006,95253.268,140272.317,83436.098,223708.415,59547.916,283256.331
Q1,1999,47242.843,99834.604,147077.44700000001,83629.246,230706.69300000003,56625.381,287332.074
