,,,,,,,
القائمة الرئيسية   Main List,,,,,,, الأرقام القياسية للأسعار       Price Indices
,,,,,,,
Table 2: Wholesale Price Indices by Principal Groups,,,,,,,جدول 2: الأرقام القياسية لأسعار الجملة حسب الأبواب الرئيسة
 ( 2014=100 ),,,,,,, ( 2014=100 )
متوسط,,الرقم القياسي,منتجات الزراعة,الخامات والمعـــــادن,المنتجات الغذائية والمشروبات ,سلع أخرى قابلة للنقل فيما عدا,المنتجات المعدنية
 الفترة ,,العــام,وصيد الأسماك ,,والتبغ والمنسوجات,المنتجات المعدنية والآلات والمعدات ,والآلات والمعدات
Period,,General ,Agriculture and fishery products,Ores and Minerals ,"Food products,beverages and tobacco and textiles","Other transportable goods,except metal products,machinery and equipment","Metal products, machinery and equipment"
Average,,Index,,,,,
2018-07-31T00:00:00,,116.7,103.5,100.2,108.1,143,101.2
2018-08-31T00:00:00,,116.8,103.3,99.7,108.2,143.6,100.9
2018-09-30T00:00:00,,116.6,101.9,98.9,108.2,144.1,100.4
2018-10-31T00:00:00,,116.8,102.1,98.6,108.1,144.8,100.3
2018-11-30T00:00:00,,116.9,102.2,98,107.8,145.1,100.3
2018-12-31T00:00:00,,116.9,100.8,97.9,107.4,145.2,100.8
2019-01-31T00:00:00,,116.4,99.4,98.8,107.3,143.7,101.2
2019-02-28T00:00:00,,116.5,98.9,97.8,107.3,143,102.2
2019-03-31T00:00:00,,117.2,98.9,97.7,107.7,142.4,104.2
2019-04-30T00:00:00,,118.2,98.8,97.7,107.8,144.8,104.6
2019-05-31T00:00:00,,119.1,99.8,97.8,107.7,144.3,107.1
2019-06-30T00:00:00,,119.2,100.5,98,107.4,144.6,107.1
2019-07-31T00:00:00,,119.8,100,97.6,107.5,146.9,106.9
2019-08-31T00:00:00,,120,102.8,97.4,107.4,146.7,106.8
2019-09-30T00:00:00,,120.2,101.9,96.9,107.2,147.1,107.4
2019-10-31T00:00:00,,120.6,101.9,96.6,107.1,147.5,108.1
2019-11-30T00:00:00,,120.7,100.1,95.9,106.6,148.1,108.3
2019-12-31T00:00:00,,121.2,101.2,95.6,107.8,148.1,108.9
2020-01-31T00:00:00,,121.4,102.1,96.5,107.7,148.4,109
2020-02-29T00:00:00,,121.7,103.7,94.9,108.7,148.3,109.2
2020-03-31T00:00:00,,121.1,105,94.6,109.1,145.6,109.5
2020-04-30T00:00:00,,118.9,113.7,94.4,109.5,136.7,109.5
2020-05-31T00:00:00,,116.6,112.5,94.7,109.6,130.3,109.3
2020-06-30T00:00:00,,116.757,111.31,93.993,109.679,131.234,109.074
2020-07-31T00:00:00,,125.954,117.048,102.643,120.306,137.909,120.554
2020-08-31T00:00:00,,126.676,118.253,102.611,120.501,139.134,120.984
2020-09-30T00:00:00,,127.346,118.087,103.393,120.452,139.561,122.354
2020-10-31T00:00:00,,127.429,119.059,109.082,120.378,139.368,122.461
2020-11-30T00:00:00,,127.341,118.814,109.33,120.449,138.942,122.621
2020-12-31T00:00:00,,127.475,116.157,108.312,120.185,138.976,123.64
2021-01-31T00:00:00,,128.693,116.283,107.583,120.327,140.877,125.014
