السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,بريمان,شقة,3,1856340,576.38,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الخضراء,شقة,10,5960000,1854.48,3256.09928743334,3648.53,2926.15
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العزيزية,شقة,3,675000,394.46,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,المعابده,شقة,96,43550836,4164.61,10163.1098891322,11284.05,9226.93
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الكندرة,عمارة,1,5969940,900,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,العدل,شقة,34,20565900,7124.32,2820.05329749054,3149.67,2512.88
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,بطحاء قريش  ,شقة,102,55606829,15654.07,3577.07785662427,4118.86,2921.96
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الرصيفة,شقة,10,6183000,1757.9,3301.29204571646,3415.3,3214.6
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الملك فهد,شقة,25,17467300,5003.21,3506.85933893344,3880.27,3090.06
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,الهجلة الجديد,شقة,1,735000,248.18,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,النزهة,شقة,27,20035800,5078.74,4009.9456269297,4341.15,3684.21
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,وادي جليل,شقة,32,19725967,6237.85,2969.63464468922,3680.13,2220.54
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,النزهة,عمارة,3,5457500,397.64,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,مكة المكرمة,بطحاء قريش  ,عمارة,1,200000,33.02,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الرياض,فيلا,140,141617597.51,53243.39,2754.88512464548,3968,1440
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السامر,فيلا,16,23518691,8063.03,3148.62118943103,4051.68,2166.67
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,أبحر الشمالية,فيلا,54,160132461.47,22663.17,7257.03841014975,8611.11,5090.12
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الأجواد,فيلا,1,1650000,358.8,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الأصالة,فيلا,4,5640000,1197.95,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,البشائر,فيلا,4,5319490,1837.08,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,أبحر الجنوبية,فيلا,8,26321812.06,2768.54,7939.53736926483,8533.33,7413.33
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,السليمانية,فيلا,1,4000000,866,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الشراع,فيلا,44,103596446.68,16454.38,6142.43507771862,7346.94,4840
